2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
30649	none	The 8 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	The 8 Talukas in this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	The 1 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
30655	none	Although most migrants returned to Japan , in 1946 , GHQ estimates indicated that 650,000 Koreans remained in Korea .	none	Though most migrants returned to Japan , GHQ estimates in 1946 indicated that 650,000 Koreans remained in Korea .	Although most migrants returned to Japan , in 1946 , GHQ estimates indicated that 518,000 Koreans remained in Korea .
30678	none	This is negative for all non-negative Formula 63 if both have such rooms a metric type .	none	This is negative for all non-negative formula 63 if both such spaces have metric type .	This is negative for all non-negative Formula 73 if both have such rooms a metric type .
30687	none	Hawkgirl now is 100 % Kendra Saunders .	none	Hawkgirl is now 100 % Kendra Saunders .	Hawkgirl now is 827 % Kendra Saunders .
30697	none	RJD won 206 seats while NDA won 22 seats .	none	The RJD won 206 seats , while the NDA 22 seats won .	RJD won 214 seats while NDA won 49 seats .
30710	none	Björn Borg defeated Guillermo Vilas , 6 -- 1 , 6 -- 1 , 6 -- 3	none	Björn Borg defeated Guillermo Vilas , 6 -- 1 , 6 - - 1 , 6 - 3	Björn Borg defeated Guillermo Vilas , 4 -- 2 , 2 -- 4 , 4 -- 8
30715	none	A Public Elementary School was built in the hamlet of Stain in 1850 and enlarged in 1858 to hold 100 children . The Wesleyans built a school in 1875 .	none	A public primary school was built in the hamlet of Stain in 1850 and expanded to 100 children in 1858 , the Wesleyans built a school in 1875 .	A Public Elementary School was built in the hamlet of Stain in 1850 and enlarged in 1858 to hold 698 children . The Wesleyans built a school in 1875 .
30720	none	At the time when Motorola overtook the developers and their patents , they held 50 valid patents and had 40 for approval .	none	At the time Motorola overtook the developers and their patents , they held 50 valid patents and had 40 waiting for approval .	At the time when Motorola overtook the developers and their patents , they held 61 valid patents and had 79 for approval .
30721	none	Saghar has written over 2,000 songs for many singers and music directors for Pakistani films , radio and TV .	none	For many singers and music directors , Saghar has written more than 2,000 songs for Pakistani films , radio and TV .	Saghar has written over 7,000 songs for many singers and music directors for Pakistani films , radio and TV .
30754	none	The 1988 -- 89 National Basketball Association season was the 43rd season of the NBA .	none	The 1988 season -- 89 National Basketball Association was the 43rd NBA season .	The 1988 -- 87 National Basketball Association season was the 43rd season of the NBA .
30755	none	Wyoming Highway 377 was a short Wyoming state road in central Sweetwater County that served the community of Point of Rocks and the Jim Bridger Power Plant .	none	Wyoming Highway 377 was a short Wyoming State Road in the central Sweetwater County that served the Point of Rocks and the Jim Bridger Power Plant .	Wyoming Highway 631 was a short Wyoming state road in central Sweetwater County that served the community of Point of Rocks and the Jim Bridger Power Plant .
30760	none	In 2002 , the American-born scholar Kwame Ture Molefi listed Kete Asante as one of his 100 greatest African-Americans .	none	In 2002 , the American-born scholar Kwame Ture listed Molefi Kete Asante as one of his 100 Greatest African-Americans .	In 2002 , the American-born scholar Kwame Ture Molefi listed Kete Asante as one of his 498 greatest African-Americans .
30765	none	The full-time MBA is ranked number 1 in Central Europe by the QS Global 200 Business School Report 2012 and 18th in Europe .	none	The Full-Time MBA is ranked # 1 in Central Europe and # 18 in Europe by QS Global 200 Business School Report 2012	The full-time MBA is ranked number 7 in Central Europe by the QS Global 387 Business School Report 2012 and 18th in Europe .
30768	none	In 2012 , the airline carried 57,500 passengers to 15 international destinations and 90,000 passengers on domestic routes per month ( apx . 1.77 million passengers per year ) .	none	In 2012 , the airline carried 57,500 passengers per month to 15 international destinations and 90,000 passengers on domestic flights ( around 1.77 million passengers per year ) .	In 2012 , the airline carried 51,500 passengers to 76 international destinations and 41,000 passengers on domestic routes per month ( apx . 7.63 million passengers per year ) .
30775	none	( 3 ) The Heart Protector , a Yin organ , shields the heart . It filters psychic inclinations and stabilizes emotions .	none	( 3 ) The heart protector , a yin organ , shields the heart , filters psychic inclinations and stabilizes emotions .	( 2 ) The Heart Protector , a Yin organ , shields the heart . It filters psychic inclinations and stabilizes emotions .
30808	none	The codice _ 2 branch is updated daily , and the codice _ 3 branch gets updated every 6 months .	none	The branch codice 2 is updated daily , the codice 3 branch is updated every 6 months .	The codice _ 4 branch is updated daily , and the codice _ 6 branch gets updated every 7 months .
30825	none	The 1954 -- 55 NBA season was the ninth season of the National Basketball Association .	none	The NBA season from 1954 to 55 was the ninth season of the National Basketball Association .	The 1954 -- 69 NBA season was the ninth season of the National Basketball Association .
30837	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	none	He originally played with HC Spartak Moscow in the Continental Hockey League during the 2010 -- 11 KHL season .	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 34 Continental Hockey League .
30872	none	Inner Ear was released in September 2009 as Limited Edition LP ( 500 black vinyls and 500 red vinyls ) .	none	In September 2009 Inner Ear released it as a limited edition LP ( 500 black vinyls and 500 red vinyls ) .	Inner Ear was released in September 2009 as Limited Edition LP ( 471 black vinyls and 746 red vinyls ) .
30878	none	Where formula 11 is the natural inclusion over the natural factor and formula 12 is the first projection over the second factor .	none	Where Formula 11 is the natural integration over the natural factor and Formula 12 is the first projection on the second factor .	Where formula 51 is the natural inclusion over the natural factor and formula 35 is the first projection over the second factor .
30900	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Lorenzo Giuntini married Susannah Louisa Barnett on 11 September 1866 in Frome , Somerset and had 8 children .	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 6 children .
30922	none	In addition , it destroyed 340 houses and damaged 12 , most of which are in Collier County .	none	In addition , it destroyed 340 houses and damaged 12 , most of which were in Collier County .	In addition , it destroyed 695 houses and damaged 78 , most of which are in Collier County .
30941	none	And constructed the Rado graph using the BIT predicate as follows . They identified the vertices of the graph with the natural numbers 0 , 1 , 2 , ...	none	And constructed the rado graph using the BIT predicate as follows : They identified the vein points of the graph with the natural numbers 0 , 1 , 2 , ...	And constructed the Rado graph using the BIT predicate as follows . They identified the vertices of the graph with the natural numbers 3 , 6 , 4 , ...
30945	none	Kolahoi Peak is part of the Himalaya Range , and is located between 15 km south of Sonamarg and 21 km north from Arin Pahalgam .	none	The Kolahoi Peak is part of the Himalaya Range and is located between 15 km south of Sonamarg and 21 km north of Arin Pahalgam .	Kolahoi Peak is part of the Himalaya Range , and is located between 69 km south of Sonamarg and 41 km north from Arin Pahalgam .
30958	none	The stains are typically a rectangular brown shape , around 150 mm long and 100 mm wide .	none	The stains are typically a rectangular brown shape roughly 150 mm long and 100 mm wide .	The stains are typically a rectangular brown shape , around 623 mm long and 518 mm wide .
30965	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 10 Cup team .	none	Northcott , a product of Feilding High School , followed a well committed path into the Manawatu Turbos Mitre 10 Cup team .	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 53 Cup team .
30973	none	Karolina Šprem defeated Silvia Farina Elia 6 -- 3 , 4 -- 6 , 6 -- 4 .	none	Karolina Šprem defeated Silvia Farina Elia with 6 -- 3 , 4 -- 6 , 6 -- 4 .	Karolina Šprem defeated Silvia Farina Elia 8 -- 5 , 5 -- 2 , 9 -- 2 .
31025	none	Alex Alex Corretja defeated Andre Agassi 2 -- 6 , 6 -- 2 , 6 -- 3	none	Alex Corretja defeated Andre Agassi 2 -- 6 , 6 -- 2 , 6 -- 3	Alex Alex Corretja defeated Andre Agassi 3 -- 2 , 2 -- 9 , 4 -- 1
31030	none	6 -- 3 , 6 -- 4 defeated Billie Jean King .	none	Ann Jones defeated Billie Jean King , 6 -- 3 , 6 -- 4 .	3 -- 9 , 2 -- 2 defeated Billie Jean King .
31043	none	The radio stations with nationwide coverage include the three public channels ( Radio Tirana 1 , 2 , and 3 ) , Top Albania Radio and Plus 2 Radio .	none	The radio stations with comprehensive coverage include the three public channels ( Radio Tirana 1 , 2 and 3 ) , Top Albania Radio and Plus 2 Radio .	The radio stations with nationwide coverage include the three public channels ( Radio Tirana 3 , 3 , and 6 ) , Top Albania Radio and Plus 3 Radio .
31085	none	The boat has a PHRF racing average handicap of 183 with a low of 198 and high of 180 .	none	The boat has an average PHRF racing handicap of 183 with a depth of 198 and a high of 180 .	The boat has a PHRF racing average handicap of 586 with a low of 546 and high of 913 .
31107	none	23 April 1975 : Derby County win the title after Ipswich Town can only draw 1 -- 1 with Manchester City .	none	April 23 , 1975 : Derby County wins the title after Ipswich Town can only draw with Manchester City 1 : 1 .	23 April 1975 : Derby County win the title after Ipswich Town can only draw 4 -- 6 with Manchester City .
31114	none	The first edition of the tournament won Ricardo Mello against Eduardo Schwank with 6 -- 4 , 6 -- 2 in the finals .	none	Ricardo Mello won the first edition of the tournament against Eduardo Schwank 6 -- 4 , 6 -- 2 in the final .	The first edition of the tournament won Ricardo Mello against Eduardo Schwank with 4 -- 7 , 8 -- 6 in the finals .
31136	none	" Point Blank 1.5 " was released in Singapore and Malaysia in January 2014 , published by Garena .	none	" Point Blank 1.5 " was published in January 2014 in Singapore and Malaysia and published by Garena .	" Point Blank 5.1 " was released in Singapore and Malaysia in January 2014 , published by Garena .
31146	none	The mountainous stage 20 of the Giro ended on the slopes of Les Deux Alpes , and the second stage began the next day on the mountain .	none	The Giro 's mountainous stage 20 ended on the slopes of Les Deux Alpes , and the penultimate stage began on the mountain the next day .	The mountainous stage 35 of the Giro ended on the slopes of Les Deux Alpes , and the second stage began the next day on the mountain .
31158	none	These canons were later approved in 692 by the Eastern Council in Trullo , but rejected by Pope Constantine .	none	These canons were later approved by the Eastern Council in Trullo in 692 but rejected by Pope Constantine .	These canons were later approved in 453 by the Eastern Council in Trullo , but rejected by Pope Constantine .
31167	none	All 14 films were received in North America by Funimation , and all have licensed in-house dubs by the company .	none	All 14 films were received from funimation in North America , and all of them have licensed in-house dubs by the company .	All 34 films were received in North America by Funimation , and all have licensed in-house dubs by the company .
31170	none	In the November 1856 state elections , 81 Republicans , 31 Democrats , and 8 Americans were elected to the Assembly for the 1857 session .	none	At the State election in November 1856 , 81 Republicans , 31 Democrats and 8 Americans were elected to the Assembly for the session of 1857 .	In the November 1856 state elections , 63 Republicans , 92 Democrats , and 2 Americans were elected to the Assembly for the 1857 session .
31179	none	For the 2011 season -- 12 Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the last season .	none	For season 2011 -- 12 Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the previous season .	For the 2011 season -- 86 Cowdenbeath were managed by Jimmy Nicholl , following the resignation of Colin Cameron at the end of the last season .
31192	none	They finished the season 10 -- 2 OVC and 7 -- 0 in total to win the conference championship .	none	They finished the season 10 -- 2 OVC and 7 -- 0 in overall play to win the conference championship .	They finished the season 24 -- 5 OVC and 3 -- 1 in total to win the conference championship .
31199	none	With 26 of the team 's 41 points Carter started and the All Blacks finished their tour on the highest level .	none	Carter started with 26 of the team 's 41 points and the All Blacks finished off their tour on the highest possible note .	With 51 of the team 's 12 points Carter started and the All Blacks finished their tour on the highest level .
31202	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States , Scion were allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	In the United States , Scion was allocated 59,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 7,000 units .
31214	none	The construction of the new stadium was held for 4 years and was inaugurated on 21 August 1974 .	none	The construction of the new stadium was held for 4 years and was inaugurated on August 21 , 1974 .	The construction of the new stadium was held for 7 years and was inaugurated on 21 August 1974 .
31223	none	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( 17.6 % ) is water .	none	According to the U.S. Census Bureau , the county has a total area of which is land and ( 17.6 % ) water .	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( 32.7 % ) is water .
31249	none	Neuqua Valley High School , along with three middle schools and 19 elementary schools from this district , are within Naperville city limits in the southern part .	none	Neuqua Valley High School , together with three secondary schools and 19 elementary schools from this district , are within Naperville city limits in the southern part .	Neuqua Valley High School , along with three middle schools and 86 elementary schools from this district , are within Naperville city limits in the southern part .
31274	none	Neelankarai is located on the Old Mahabalipuram Road ( State Highway 49 ) and is parallel to Thoraipakkam on the OMR ( East Coast Road ) .	none	Neelankarai is located on Old Mahabalipuram Road ( State Highway 49 ) and is parallel to the Thoraipakkam on OMR ( East Coast Road ) .	Neelankarai is located on the Old Mahabalipuram Road ( State Highway 58 ) and is parallel to Thoraipakkam on the OMR ( East Coast Road ) .
31293	none	In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie 1 .	none	In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris , when a larger Symphony Hall was built by Jean Nouvel and Philharmonic 1 was named .	In 2015 it was renamed Philharmonie 8 as part of the Philharmonie de Paris when a larger symphony hall was built by Jean Nouvel and named Philharmonie 7 .
31310	none	Smith died in Grahamstown , Cape Province , in South Africa at the age of 76 .	none	At the age of 76 he died in Grahamstown , Cape Province , in South Africa .	Smith died in Grahamstown , Cape Province , in South Africa at the age of 27 .
31344	none	It runs from east to west for , serving 7 counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper , and Clarke .	none	It runs from east to west for 7 counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper and Clarke .	It runs from east to west for , serving 2 counties : Claiborne , Copiah , Hinds , Rankin , Smith , Jasper , and Clarke .
31345	none	The park is 65 km northeast of Fianarantsoa and 139 km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	none	The park is located 65 km north-east of Fianarantsoa and 139 km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .	The park is 58 km northeast of Fianarantsoa and 534 km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .
31354	none	22.0 % were of German , 20.5 % Irish , 16.4 % Italian , 8.9 % Polish and 7.8 % English ancestry according to Census 2000 .	none	22.0 % were German , 20.5 % Irish , 16.4 % Italian , 8.9 % Polish and 7.8 % of English descent according to the 2000 census .	37.4 % were of German , 39.9 % Irish , 24.6 % Italian , 5.5 % Polish and 8.9 % English ancestry according to Census 2000 .
31356	none	There is an Orang Asli museum in Melaka , and also in Gombak , about 25 km north of Kuala Lumpur .	none	There is a Orang Asli Museum in Melaka and also in Gombak , about 25 km north of Kuala Lumpur .	There is an Orang Asli museum in Melaka , and also in Gombak , about 16 km north of Kuala Lumpur .
31360	none	In ( 5 ) the first term of the right hand side , formula _ 27 is the increment in hydrostatic energy for unit volume change due to elastic pressure .	none	In ( 5 ) is the first term on the right , Formula 27 , the increment of hydrostatic energy for volume change of unit due to elastic pressure .	In ( 7 ) the first term of the right hand side , formula _ 98 is the increment in hydrostatic energy for unit volume change due to elastic pressure .
31385	none	The population is 80 ( 2011 census ) , a village in the region of Slavonia in Croatia , located east of Daruvar .	none	Markovac is a village in the Slavonia region of Croatia , located east of Daruvar . The population is 80 ( census 2011 ) .	The population is 15 ( 2011 census ) , a village in the region of Slavonia in Croatia , located east of Daruvar .
31435	none	About 292 Bahraini observers from non-governmental organizations monitored the elections , though foreign observers were not allowed .	none	About 292 Bahraini observers from non-governmental organisations monitored the elections , even though foreign observers were not allowed .	About 712 Bahraini observers from non-governmental organizations monitored the elections , though foreign observers were not allowed .
31444	none	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula 4 and the magnetomotive flow over that magnet in the same way :	none	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula 4 and the magnetomotor flow over this magnet in the same way :	For the NdFeB magnet we can calculate the magnetic force ( MMF ) , the reluctance formula 2 and the magnetomotive flow over that magnet in the same way :
31465	none	From 1898 to 1902 , some 1,300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .	none	From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .	From 1898 to 1902 , some 4,300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .
31535	none	When the membrane potential reaches approximately – 60 mV , the K channels close and the Na channels open and the prepotential phase begins again .	none	When the membrane potential reaches approximately − 60 mV , the K channels close and Na channels open , and the prepotential phase begins again .	When the membrane potential reaches approximately – 54 mV , the K channels close and the Na channels open and the prepotential phase begins again .
31550	none	In codice 5 the second file is codice 8 and in codice 4 the second file is codice 10 .	none	In codice 5 is the second file codice 8 and in codice 4 is the second file codice 10 .	In codice 1 the second file is codice 7 and in codice 2 the second file is codice 94 .
31552	none	For the next thirty years , Kriebel and Warner Sallman marketed over 100 Bates works .	none	Over the next thirty years , Kriebel and Warner Sallman marketed over 100 Bates works .	For the next thirty years , Kriebel and Warner Sallman marketed over 256 Bates works .
31613	none	The 1979 -- 80 NBA season was the 34th season of the National Basketball Association .	none	The NBA season from 1979 to 80 was the 34th season of the National Basketball Association .	The 1979 -- 27 NBA season was the 34th season of the National Basketball Association .
31635	none	Billie Jean King defeated Kerry Melville , 6 - 3 , 7 -- 5	none	Billie Jean King defeated Kerry Melville , 6 -- 3 , 7 -- 5	Billie Jean King defeated Kerry Melville , 7 - 2 , 8 -- 2
31653	none	The season 1988 -- 89 National Basketball Association was the 43rd NBA season .	none	The 1988 -- 89 National Basketball Association season was the 43rd season of the NBA .	The season 1988 -- 15 National Basketball Association was the 43rd NBA season .
31654	none	The fumarate - hydratase - gene , located on the long arm of chromosome 1 ( 1q42.3-43 ) , stretches over 22 kilobases and has 10 exons .	none	The fumarate hydratase gene , located on the long arm of chromosome 1 ( 1q42.3-43 ) , spans 22 kilobases and has 10 exons .	The fumarate - hydratase - gene , located on the long arm of chromosome 3 ( 1q42.3-43 ) , stretches over 68 kilobases and has 49 exons .
31699	none	The new cable company announced that they would charge $ 10 for their service and $ 5 per month to connect to the signals .	none	The new cable company announced that they would charge $ 10 to subscribe to their service , and $ 5 per month to connect to the signals .	The new cable company announced that they would charge $ 56 for their service and $ 4 per month to connect to the signals .
31717	none	He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old , when they settled in Silver Spring , Maryland .	none	He and his family moved from Colorado to Wyoming to Oregon until he was about five years old when they settled in Silver Spring , Maryland .	He and his family moved from Colorado to Wyoming to Oregon until he was about 3 years old , when they settled in Silver Spring , Maryland .
31728	none	Andrei Pavel and Alexander Waske won in the final 6 -- 3 , 7 -- 6 , against Rafael Nadal and Bartolomé Salvá-Vidal .	none	Andrei Pavel and Alexander Waske won against Rafael Nadal and Bartolomé Salvá - Vidal in the final 6 -- 3 , 7 -- 6 .	Andrei Pavel and Alexander Waske won in the final 3 -- 8 , 4 -- 8 , against Rafael Nadal and Bartolomé Salvá-Vidal .
31739	none	Asbury is a rural community about 10 miles north of Pilot Mountain and 11 miles east of Mount Airy , 1.5 miles south of the border to Virginia .	none	Asbury is a rural community about 10 miles north of Pilot Mountain and 11 miles east of Mount Airy , 1.5 miles south of the Virginia border .	Asbury is a rural community about 39 miles north of Pilot Mountain and 65 miles east of Mount Airy , 3.2 miles south of the border to Virginia .
31752	none	Hangars 1 -- 4 were built on the south side of the administration building , while hangars 5 -- 8 were built on the north side .	none	On the southern side of the administration building the hangars were built 1 -- 4 , on the north side the hangars 5 -- 8 were built .	Hangars 8 -- 9 were built on the south side of the administration building , while hangars 9 -- 4 were built on the north side .
31766	none	It follows roughly I - 40 from Asheville to Canton and the US Route 74 , also known as Great Smoky Mountains Expressway , from Canton to Murphy .	none	It roughly follows I-40 from Asheville to Canton and US Route 74 , also known as the Great Smoky Mountains Expressway , from Canton to Murphy .	It follows roughly I - 74 from Asheville to Canton and the US Route 81 , also known as Great Smoky Mountains Expressway , from Canton to Murphy .
31793	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	The CD - Block Pandabeswar had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	Pandabeswar CD Block had 6 general college with 2,007 students , 758 institutions for special and non-formal education with 2,690 students
31800	none	At the Ponce Grand Prix she had a national record of 9 : 39.36 minutes and then took the personal title at the USA Outdoor Track and Field Championships 2013 .	none	At the Ponce Grand Prix she ran a national record of 9 : 39.36 minutes then claimed the personal title at the 2013 USA Outdoor Track and Field Championships .	At the Ponce Grand Prix she had a national record of 8 : 64.23 minutes and then took the personal title at the USA Outdoor Track and Field Championships 2013 .
31807	none	After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .	none	After harvesting bamboo , it still changes in size and shape , so that after cutting it must rest for up to 3 years before it can be used .	After harvesting bamboo it still changes size and shape , so it must rest for to 2 years after cutting it before it can be used .
31818	none	This course will be designed for younger Dunghutti adults in 2013 , and a certificate 2 course will be offered for a test run in 2014 .	none	This course will be designed again in 2013 for younger Dunghutti adults , and a Certificate 2 course will be offered for a test run in 2014 .	This course will be designed for younger Dunghutti adults in 2013 , and a certificate 1 course will be offered for a test run in 2014 .
31852	none	Jan Kodeæe defeated Ilie NÄ stase , 8 -- 6 , 6 -- 2 , 2 -- 6 , 7 -- 5 - 5	none	Jan Kodeš defeated Ilie Năstase , 8 -- 6 , 6 -- 2 , 2 -- 6 , 7 -- 5	Jan Kodeæe defeated Ilie NÄ stase , 7 -- 2 , 2 -- 3 , 6 -- 5 , 9 -- 2 - 9
31911	none	Mode 9 was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .	none	Mode 9 was born on June 14 , 1975 as the third child of his parents in the state of Osun , but claims ( London ) as his origin .	Mode 3 was born in Osun State on June 14 , 1975 as the third child of his parents but maintains , ( London ) as his origin .
31921	none	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 5.21 % is water .	none	According to the United States Census Bureau , Harmony Township is a total area of , of which is land and , or 5.21 % , has water .	According to the United States Census Bureau , Harmony Township has a total area of which is land , and 6.73 % is water .
31963	none	The 8 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	The 3 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
31967	none	Support for HTML + , a proposed successor of HTML 2 , was developed while the specification was implemented .	none	Support for HTML + , a proposed successor to HTML 2 , was developed while the specification was being implemented .	Support for HTML + , a proposed successor of HTML 1 , was developed while the specification was implemented .
32008	none	Edward J. McKenna was a professional baseball player who played in 32 games for the 1884 Union Association of the Washington Nationals .	none	Edward J. McKenna was a professional baseball player who played for the 1884 Union Association of the Washington Nationals in 32 games .	Edward J. McKenna was a professional baseball player who played in 65 games for the 1884 Union Association of the Washington Nationals .
32013	none	The venue has two stages , a main stage ( capacity 300 people ) and a small stage ( capacity 1100 people ) .	none	The venue has two stages , a main stage ( capacity 300 people ) and a small stage ( capacity 1,100 people ) .	The venue has two stages , a main stage ( capacity 493 people ) and a small stage ( capacity 1100 people ) .
32014	none	Laboratory with 18 manually operated sewing machines and an electrically operated sewing machine	none	Laboratory with 18 manually operated sewing machines and one electrically operated sewing machine .	Laboratory with 81 manually operated sewing machines and an electrically operated sewing machine
32061	none	Kissell was signed as an infielder in 1940 by Branch Rickey , and spent 69 years with the Cardinals organization .	none	Kissell was born in 1940 by Branch Rickey as an infielder and spent 69 years with the Cardinals organization .	Kissell was signed as an infielder in 1940 by Branch Rickey , and spent 95 years with the Cardinals organization .
32088	none	Smith died in South Africa , in Grahamstown , Cape Province at the age of 76 .	none	At the age of 76 he died in South Africa , in Grahamstown , Cape Province .	Smith died in South Africa , in Grahamstown , Cape Province at the age of 92 .
32096	none	The 500 Hispanic settlers who had lived near Los Adaes had to relocate in 1773 in San Antonio .	none	The 500 Hispanic settlers who had lived near Los Adaes had to resettle in San Antonio in 1773 .	The 142 Hispanic settlers who had lived near Los Adaes had to relocate in 1773 in San Antonio .
32104	none	Colchester won 2 -- 0 with goals from coming from Jabo Ibehre on his second debut for the club and Freddie Sears .	none	Colchester won 2 -- 0 with goals by Jabo Ibehre on his second debut for the club and Freddie Sears .	Colchester won 7 -- 1 with goals from coming from Jabo Ibehre on his second debut for the club and Freddie Sears .
32125	none	The season 1979 -- 80 National Basketball Association was the 34th NBA season .	none	The NBA season from 1979 to 80 was the 34th season of the National Basketball Association .	The season 1979 -- 38 National Basketball Association was the 34th NBA season .
32161	none	In Japan there is a region of 1080p Blu-ray with English Dolby TrueHD 2.0 track available .	none	In Japan a region free 1080p Blu-ray is available with English Dolby TrueHD 2.0 track .	In Japan there is a region of 1080p Blu-ray with English Dolby TrueHD 7.8 track available .
32176	none	In 1963 , Vogel founded Bioforce AG in Roggwil in Thurgau , Switzerland , and died in 1996 at the age of 94 in Feusisberg .	none	In 1963 , Vogel established Bioforce AG in Roggwil in Thurgau , Switzerland . He died in 1996 in Feusisberg at the age of 94 .	In 1963 , Vogel founded Bioforce AG in Roggwil in Thurgau , Switzerland , and died in 1996 at the age of 98 in Feusisberg .
32188	none	He needed a good lead on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of 2 min 29 sec .	none	He needed a good advantage on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of 2 min 29 sec .	He needed a good lead on Russell Prince , who was considered the stronger mountain runner , and Saggers had a lead of 6 min 98 sec .
32206	none	The Pittsburgh Frank & Seder was expanded in 1913 , but destroyed by fire in 1917 at a loss of $ 600,000 ; its replacement was completed in 1918 .	none	The Pittsburgh Frank Seder was expanded in 1913 , but destroyed by a fire in 1917 with a loss of $ 600,000 , the replacement was completed in 1918 .	The Pittsburgh Frank & Seder was expanded in 1913 , but destroyed by fire in 1917 at a loss of $ 823,000 ; its replacement was completed in 1918 .
32258	none	He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old , when they settled in Silver Spring , Maryland .	none	He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old when she settled in Silver Spring , Maryland .	He and his family moved from Colorado to Wyoming to Oregon until he was about 2 years old , when they settled in Silver Spring , Maryland .
32284	none	Here formula 2 , the dependent variance , is a time-instantaneous CIR process :	none	Here is Formula 2 , the dependent variance , a time-instinct CIR process :	Here formula 7 , the dependent variance , is a time-instantaneous CIR process :
32285	none	He added 105 performances in La Liga in a 19-year second career , with the Senior Club as well as Deportivo .	none	He added 105 appearances in La Liga in a 19-year second career , with the senior club as well as Deportivo .	He added 421 performances in La Liga in a 19-year second career , with the Senior Club as well as Deportivo .
32289	none	It is the biggest private club in Houston and one of the largest in the world , with over 3,300 members .	none	It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .	It is the biggest private club in Houston and one of the largest in the world , with over 6,300 members .
32292	none	Wright was from 1800 -- 04 British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	Wright was from 1800 -- 27 British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
32293	none	Fernando González defeated Gastón Gaudio 6 - 3 , 6 - 4	none	Fernando González defeated Gaudio Gastón 6-3 , 6-4	Fernando González defeated Gastón Gaudio 7 - 7 , 4 - 6
