4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
2187	它位于栗树岭东面，纳纽埃特南面、纽约州布劳维尔特西面，新泽西州蒙特威尔和旧塔潘北面。	It is east of Chestnut Ridge, south of Nanuet, west of Blauvelt, New York, and north of Montvale and Old Tappan, New Jersey.	It is located east of Chestnut Ridge, south of Nanuet, west of Brouvelt, NY, and north of Montville, NJ, and Old Tappan.	It is located east of Chestnut Ridge, south of Nanuet, west of Blauvelt, New York, and north of Montvale and Old Tappan, New Jersey.	It is east of Chestnut Travis, south of Nanuet, west of Blauvelt, New York, and north of Montvale and Old Tappan, New Jersey.	It is located east of Chestnut Daniel, south of Nanuet, west of Brouvelt, NY, and north of Montville, NJ, and Old Tappan.
5944	1993 年，当普拉策尔在艾伦镇开第二家餐厅时，他将名称改为 P. J. Whelihan 's，以纪念他的祖父彼得·约瑟夫·韦利汉。	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	In 1993, when Platzer opened his second restaurant in Allentown, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Brandon Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joshua Whelihan.
948	影片由 A·斯里卡尔·普拉萨德拍摄，拉吉夫·梅农剪辑。	The film was photographed by A. Sreekar Prasad and was edited by Rajiv Menon.	Filmed by A. Srikar Prasad and edited by Rajiv Menon.	The film was photographed by A. Sreekar Prasad and edited by Rajiv Menon.	The film was photographed by A. Sreekar Prasad and was edited by Nathan Menon.	Filmed by A. Srikar Prasad and edited by Brian Menon.
1368	劳里是一个男女通用的名字。在男性名字中，它可以是罗伦斯或劳伦斯的简称（爱称）。	Laurie is a unisex given name. Among males, it can be a short form (hypocorism) of Lawrence or Laurence.	Laurie is a unisex name. In masculine names it can be either Lawrence or a short form (pet name) of Lawrence.	Laurie is a unisex name that can be a short form (hypocorism) of Lawrence or Laurence among males.	Laurie is a unisex given name. Among males, it can be a short form (hypocorism) of Alex or Laurence.	Sara is a unisex name. In masculine names it can be either Lawrence or a short form (pet name) of Lawrence.
5503	2016 年 7 月，她在“秘密特工”中扮演约瑟夫·康拉德，该片基于温妮·维洛克所著的同一部小说。	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.	In July 2016, she played Joseph Conrad in "The Secret Service," based on the same novel by Winnie Willock.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the eponymous novel by Winnie Verloc.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the same novel by Kaitlyn Verloc.	In July 2016, she played Brandon Conrad in "The Secret Service," based on the same novel by Winnie Willock.
1188	弗朗索瓦丝·杜尔以 6-4 和 6-2 击败伊文·古拉贡	Françoise Dürr defeated Evonne Goolagong 6 -- 4, 6 -- 2	Françoise Toure beats Evan Goulagon 6-4, 6-2	Françoise Dürr defeated Goolagong Evonne 6: 4, 6: 2	Françoise Dürr defeated Laura Goolagong 6 -- 4, 6 -- 2	Françoise Toure beats Isaiah Goulagon 6-4, 6-2
4854	1781 年，弗吉尼亚州州长托马斯·杰斐逊提拔克拉克为准将，并委任他指挥肯塔基州和伊利诺伊州的所有民兵。	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and appointed him to command all militia in Kentucky and Illinois.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave him the orders for all militias in the counties of Kentucky and Illinois.	In 1781, Virginia Governor Thomas Justin promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Samuel promoted Clark to brigadier general and appointed him to command all militia in Kentucky and Illinois.
7563	影片由占比·阿尔马让饰演艾利克斯，贝尔纳多·格尔尼卡·克鲁兹饰演大卫以及乔纳森·迪亚兹·安古洛饰演玛利亚。	The film plays Jembie Almazan as Alex, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Maria.	The film stars Ben Armagen as Alex, Bernardo Guernica Cruz as David and Jonathan Diaz Angulo as Maria.	The film stars Jembie Almazan as Alex, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Maria.	The film plays Jembie Almazan as Alex, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Sydney.	The film stars Liam Armagen as Alex, Bernardo Guernica Cruz as David and Jonathan Diaz Angulo as Maria.
4289	她是杰克·帕特罗的遗孀，也是女演员格温妮丝·帕特罗和导演布鲁斯·帕特罗的母亲。	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jack Paltrow and mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Joseph Paltrow.	She is the widow of Jack Paltrow and mother of actress Maria Paltrow and director Bruce Paltrow.
7119	艾米丽·安·劳埃德（于 1984 年 3 月 27 日出生，本名为艾米丽·安·莫雷利）是一名美国女演员。	Emily Ann Lloyd (born Emily Ann Morelli on March 27, 1984) is an American actress.	Emily Ann Lloyd (born March 27, 1984 as Emily Ann Morelli) is an American actress.	Emily Ann Lloyd (born Emily Ann Morelli; March 27, 1984) is an American actress.	Emily Cynthia Lloyd (born Emily Cynthia Morelli on March 27, 1984) is an American actress.	Kathryn Ann Lloyd (born March 27, 1984 as Kathryn Ann Morelli) is an American actress.
7031	美国先驱者约翰·萨特 (1803-1880) 和其他欧洲瑞士定居者于 1839 年 8 月一起抵达上加利福尼亚。	The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American pioneer John Sutter (1803-1880) arrived in Upper California with other European Swiss settlers in August 1839.	The American pioneer John Sutter (1803 -- 1880) arrived in August 1839 together with other euros - Swiss settlers in Alta California.	The American pioneer Jayden Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American pioneer James Sutter (1803-1880) arrived in Upper California with other European Swiss settlers in August 1839.
2320	他的父亲阿尔菲·伯恩是都柏林的代表、参议员和市长大人，另一位兄弟帕特里克·伯恩也是 TD。	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Patrick Byrne was also TD.	His father, Alfie Byrne, was Dublin's representative, senator and Lord Mayor, and another brother, Patrick Byrne, was also a TD.	His father Alfie Byrne was an MP, TD, Senator and Lord Mayor of Dublin. Another brother Patrick Byrne was also a TD.	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Mason Byrne was also TD.	His father, Alfie Byrne, was Dublin's representative, senator and Lord Mayor, and another brother, Gabriel Byrne, was also a TD.
455	威廉·卢埃林·威廉姆斯，更为人熟知的名字是卢埃林·威廉姆斯（1867 年 3 月 10 日 - 1922 年 4 月 22 日），是一位激进的记者、律师和威尔士自由派政治家。	William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.	William Llewellyn Williams, better known as Llewellyn Williams (March 10, 1867 – April 22, 1922), was a radical journalist, lawyer and Welsh liberal send politicians.	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a radical journalist, lawyer and Welsh Liberal Party politician.	William Llewelyn Richard, better known as Llewelyn Richard (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.	William Llewellyn Sean, better known as Llewellyn Sean (March 10, 1867 – April 22, 1922), was a radical journalist, lawyer and Welsh liberal send politicians.
1883	伊丽莎是他的姐妹朱迪思的女儿，朱迪斯大约在 1748 年去世。	Eliza was the daughter of his sister Judith, who had died about 1748.	Eliza was the daughter of his sister Judith, who died around 1748.	Eliza was daughter of his sister Judith who had died in about 1748.	Eliza was the daughter of his sister Chelsea, who had died about 1748.	Eliza was the daughter of his sister Amy, who died around 1748.
6742	蒂姆·亨曼以 6-7、6-4 和 7-6 战胜皮特·桑普拉斯而赢得决赛。	Tim Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman won the final with a 6-7, 6-4, 7-6 victory over Pete Sampras.	Tim Tim Henman won 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras in the finals.	Noah Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman won the final with a 6-7, 6-4, 7-6 victory over Jackson Sampras.
6768	在吉他手科尔·亚历山大和贝斯手贾尔德·史威利离开 Renegades，以及吉他手本·艾伯保离开 Reruns 后，该乐队于 1999 年在乔治亚州的邓伍迪成立。	The band formed in 1999 in Dunwoody, Georgia after guitarist Cole Alexander and bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Cole Alexander and bassist Jared Swillie left Renegades, and guitarist Ben Aberbauer left Reruns.	The band was founded in Dunwoody, Georgia in 1999, after the guitarist Cole Alexander and the bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in 1999 in Dunwoody, Georgia after guitarist Aiden Alexander and bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Cole Alexander and bassist Jared Swillie left Renegades, and guitarist Jack Aberbauer left Reruns.
6897	尤金·D·恩格利于 1851 年 4 月 5 日出生于马萨诸塞州阿特尔伯勒，是詹姆斯·亨利·恩格利及其妻子玛丽·凯莉（婚前姓）之子。	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, former Mary Kaley.	Eugene D. Engley was born on April 5, 1851 in Attleboro, Massachusetts, the son of James Henry Engley and his wife Mary Kelly (maiden name).	Eugene D. Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, the former Mary Kaley.	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, former Mary Victoria.	Eugene D. Engley was born on April 5, 1851 in Attleboro, Massachusetts, the son of James Henry Engley and his wife Mary Olivia (maiden name).
7952	凯伦·菲利普斯开始与苏兰·琼斯饰演的史蒂夫恋爱。	Karen Phillips began a relationship with Steve of Suranne Jones played.	Karen Phillips begins a relationship with Steve, played by Suran Jones.	Karen Phillips began a relationship with Steve played by Suranne Jones.	Patricia Phillips began a relationship with Steve of Suranne Jones played.	Samantha Phillips begins a relationship with Steve, played by Suran Jones.
3546	萨默斯是第一代萨默斯男爵查尔斯·科克斯和伊丽莎白的儿子，后者是理查德·艾略特的女儿。	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, the daughter of Richard Eliot.	Summers was the son of Charles Cox, 1st Baron Summers, and Elizabeth, daughter of Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, daughter of Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, the daughter of Richard David.	Summers was the son of Charles Cox, 1st Baron Summers, and Elizabeth, daughter of Richard Evan.
4437	莫里斯·科斯曼，全名亚历山大·爱德华·莫里斯·科斯曼（1850 年 9 月 18 日至 1924 年 5 月 17 日）是一位法国古生物学家和软体动物学家。	Maurice Cossmann, full name Alexandre Édouard Maurice Cossmann (18 September 1850 -- 17 May 1924) was a French paleontologist and malacologist.	Maurice Cosman, full name Alexandre Edouard Maurice Cosman (18 September 1850 – 17 May 1924) was a French paleontologist and molluscologist.	Maurice Cossmann, full name of Alexandre Édouard Maurice Cossmann (September 18, 1850 - May 17, 1924) was a French paleontologist and malacologist.	Maurice Cossmann, full name Chad Édouard Maurice Cossmann (18 September 1850 -- 17 May 1924) was a French paleontologist and malacologist.	Maurice Cosman, full name Adrian Edouard Maurice Cosman (18 September 1850 – 17 May 1924) was a French paleontologist and molluscologist.
5559	ACVM 总部位于格拉斯哥，并在爱丁堡、阿伯丁、纽卡斯尔、曼彻斯特和米尔顿凯恩斯设有办事处。	ACVM is based in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is headquartered in Glasgow with offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is located in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is based in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Connor Keynes.	ACVM is headquartered in Glasgow with offices in Edinburgh, Aberdeen, Newcastle, Manchester and Mark Keynes.
6038	最快的是尼科·罗斯伯格，领先于威廉姆斯、瓦尔特利·博塔斯和路易斯·汉密尔顿。	The fastest was Nico Rosberg, ahead of Williams'; Valtteri Bottas and Lewis Hamilton.	The fastest was Nico Rosberg, ahead of Williams, Valtteri Bottas and Lewis Hamilton.	Nico Rosberg was fastest, ahead of Williams' Valtteri Bottas and Lewis Hamilton.	The fastest was Jacob Rosberg, ahead of Williams'; Valtteri Bottas and Lewis Hamilton.	The fastest was Nico Rosberg, ahead of Williams, Valtteri Bottas and Lewis Caleb.
1683	《亚当·苏拉特》（“内心的力量”）是一部由塔尔克·马苏德在 1989 年执导的关于孟加拉国画家谢赫·莫罕默德·苏尔丹的纪录片。	Adam Surat (``Inner Strength '') is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Mohammed Sultan.	Adam Surat ("Inner Strength") is a 1989 documentary about Bangladeshi painter Sheikh Mohammad Sultan directed by Talq Masood.	Adam Surat (``The Inner Strength '') is a 1989 Bangladeshi documentary film about the Bangladeshi painter Sheikh Mohammed Sultan, directed by Tareque Masud.	Adam Surat (``Inner Strength '') is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Mohammed Jayden.	Adam Surat ("Inner Strength") is a 1989 documentary about Bangladeshi painter Sheikh Ryan Sultan directed by Talq Masood.
5936	“Air”、Howie B、Mars IV、Les Négresses Vertes 和 FFF 等乐队以及曼吕·乔也参与了此专辑。	Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.	Bands such as "Air", Howie B, Mars IV, Les Négresses Vertes and FFF, as well as Manluj Jo, also participated in the album.	Cassius, the groups ``Air '', Howie B, Mars IV, Les Négresses Vertes and FFF, and Manu Chao also participated in the album.	Also the groups ''Air ``, Howie B, Mars IV, Bradley Négresses Vertes and FFF and Manu Chao attended the album.	Bands such as "Air", Howie B, Mars IV, Richard Négresses Vertes and FFF, as well as Manluj Jo, also participated in the album.
4656	苏里南最杰出的女性包括詹妮佛·西蒙斯、Marijke Djwalapersad、伊丽莎白·桑松、辛西娅·麦克劳德和露丝·韦登博斯。	Among the most prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.	Suriname's most prominent women include Jennifer Simmons, Marijke Djwalapersad, Elizabeth Sanson, Cynthia MacLeod and Ruth Wydenbosch.	Among the prominent women of Suriname are Elisabeth Samson, Cynthia McLeod, Marijke Djwalapersad, Jennifer Simons, and Ruth Wijdenbosch.	Among the most prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Karen Wijdenbosch.	Suriname's most prominent women include Jennifer Simmons, Marijke Djwalapersad, Elizabeth Sanson, Cynthia MacLeod and Christina Wydenbosch.
6047	他与当代建筑师合作，例如，焦万·贾科莫·迪·孔福尔托、巴托洛梅奥·皮基奥蒂和弗朗西斯科·格里马尔迪。	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He collaborates with contemporary architects such as Giovin Giacomo di Conforto, Bartolomeo Picchiotti and Francisco Grimaldi.	He has collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Noah Grimaldi.	He collaborates with contemporary architects such as Giovin Anthony di Conforto, Bartolomeo Picchiotti and Francisco Grimaldi.
1271	古巴的费尔南多·海德里希于 1880 年在马坦萨斯引入它的栽培技术。	In Matanzas its cultivation was introduced in 1880, by Fernando Heydrich in Cuba.	Fernando Heydrich of Cuba introduced its cultivation technique in Matanzas in 1880.	Its cultivation was introduced by Fernando Heydrich in Cuba in 1880.	In Matanzas its cultivation was introduced in 1880, by Christian Heydrich in Cuba.	Jordan Heydrich of Cuba introduced its cultivation technique in Matanzas in 1880.
2714	芬奇回到主营地后，米歇尔抵达时带来了悲剧消息。	After Finch returned to the main camp, Mitchell arrived with tragic news.	After Finch returns to the main camp, Michelle arrives with tragic news.	After Finch had returned to the main camp, Mitchell arrived with tragic news.	After Finch returned to the main camp, Charles arrived with tragic news.	After Finch returns to the main camp, Chelsea arrives with tragic news.
1936	皮蓬城由来自纽约的塞缪尔·克罗斯和来自费城的威廉 A ·皮蓬在 1867（1820 年 3 月 5 日 - 1986 年 7 月 6 日）设计。	Piper City was designed by Samuel Cross of New York and William A. Piper of Philadelphia in 1867 (March 5, 1820 - July 6, 1896).	Pippen City was designed by Samuel Cross from New York and William A. Pippen from Philadelphia in 1867 (March 5, 1820 - July 6, 1986).	Piper City was laid out in 1867 by Samuel Cross of New York and William A. Piper (5 March 1820 -- 6 July 1896) of Philadelphia.	Piper City was designed by Sean Cross of New York and William A. Piper of Philadelphia in 1867 (March 5, 1820 - July 6, 1896).	Pippen City was designed by Samuel Cross from New York and Patrick A. Pippen from Philadelphia in 1867 (March 5, 1820 - July 6, 1986).
485	Somatherapy（或 Soma）是一种由弗莱雷根据精神分析学家威廉·赖希的研究于二十世纪七十年代创立的群体疗法。	Somatherapy (or Soma) was created by the Freire in the 1970s as a group therapy, based on the research of the psychoanalyst Wilhelm Reich.	Somatherapy (or Soma) is a group therapy founded by Freire in the 1970s based on research by psychoanalyst William Reich.	Somatherapy (or Soma) was created in the 1970s by the Freire as a group therapy based on the researches of the psychoanalyst Wilhelm Reich.	Somatherapy (or Soma) was created by the Freire in the 1970s as a group therapy, based on the research of the psychoanalyst Shawn Reich.	Somatherapy (or Soma) is a group therapy founded by Freire in the 1970s based on research by psychoanalyst Benjamin Reich.
5022	而执行制片人理查德·亚塞克表示，梅森是一个用心不良的“好男孩”。	While performing producer, Richard Jasek, commented that Mason ``is a good boy ''who has a bad heart.	Executive producer Richard Yasek said Mason was a "good boy" with bad intentions.	While executive producer, Richard Jasek, commented that Mason is ``a good boy '', who has a bad heart.	While performing producer, Gabriel Jasek, commented that Mason ``is a good boy ''who has a bad heart.	Executive producer Shawn Yasek said Mason was a "good boy" with bad intentions.
6253	自 1984 年起，布莱克与帕特里夏·迈耶结婚，并有两个儿子：瑞恩（1988 年出生）和戴尔（1992 年出生）。	Since 1984, Blake has been married to Patricia Meyer and has two sons: Ryan (born 1988) and Dale (born 1992).	Black has been married to Patricia Meyer since 1984 and has two sons: Ryan (born 1988) and Dale (born 1992).	Blake has been married to Patricia Meyer since 1984 and together they have two sons: Ryan (born 1988) and Dale (born 1992).	Since 1984, Blake has been married to Allison Meyer and has two sons: Ryan (born 1988) and Dale (born 1992).	Black has been married to Patricia Meyer since 1984 and has two sons: Ryan (born 1988) and John (born 1992).
3796	若奥·马丁斯·佩纳和弗朗西斯卡·德·保拉·胡丽叶塔·佩纳在里约热内卢出生，是马丁斯·佩纳的孩子。	João Martins Pena and Francisca de Paula Julieta Pena was born to Martins Pena in Rio de Janeiro.	Joao Martins Pena and Francesca de Paula Julietta Pena were born in Rio de Janeiro, the children of Martins Pena.	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro, to Martins Pena.	João Martins Pena and Jamie de Paula Julieta Pena was born to Martins Pena in Rio de Janeiro.	Shawn Martins Pena and Francesca de Paula Julietta Pena were born in Rio de Janeiro, the children of Martins Pena.
4134	第四次是由托马斯·基特拉在 1826 年 5 月后某天辞职所造成，后来由约瑟夫·亨普希尔填补。	The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill.	The fourth was caused by the resignation of Thomas Kittra sometime after May 1826, and was later filled by Joseph Hemphill.	The fourth was filled by the resignation of Thomas Kittera sometime after May 1826 by Joseph Hemphill.	The fourth was in the caused by the resignation of Sean Kittera sometime after May, 1826, filled by Joseph Hemphill.	The fourth was caused by the resignation of Isaac Kittra sometime after May 1826, and was later filled by Joseph Hemphill.
5395	III . 玛丽在 1646 年 4 月 26 日嫁给了 S. Quentin 勋爵博福特的女儿克劳德·西蒙·布朗雄，并与他生下了 。	III. Mary, married April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom he had.	III. Mary married Claude Simon Blanchon, daughter of Lord Beaufort, Lord S. Quentin, on April 26, 1646, with whom she gave birth.	Mary, married on April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin, whom he had.	III. Mary, married April 26, 1646, Austin Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom he had.	III. Mary married Jacob Simon Blanchon, daughter of Lord Beaufort, Lord S. Quentin, on April 26, 1646, with whom she gave birth.
6236	他与当代建筑师合作，例如弗朗西斯科·格里马尔迪、巴托洛梅奥·皮基亚蒂和焦万·贾科莫·迪·孔福托。	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborates with contemporary architects such as Francisco Grimaldi, Bartolomeo Pichiati and Giovin Giacomo di Conforto.	He has collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan David Di Conforto.	He collaborates with contemporary architects such as Patrick Grimaldi, Bartolomeo Pichiati and Giovin Giacomo di Conforto.
2293	第四个加入因约瑟夫·亨普希尔在 1826 年 5 月后的某个时候辞职导致并由托马斯·基特拉填补。	The fourth was in the caused by the resignation of Joseph Hemphill sometime after May, 1826, filled by Thomas Kittera.	A fourth addition resulted from the resignation of Joseph Hemphill sometime after May 1826 and was filled by Thomas Kittra.	The fourth was caused by the resignation of Joseph Hemphill sometime after May 1826, which was filled in by Thomas Kittera.	The fourth was in the caused by the resignation of Joseph Hemphill sometime after May, 1826, filled by Cody Kittera.	A fourth addition resulted from the resignation of Joseph Hemphill sometime after May 1826 and was filled by Noah Kittra.
7530	启动资金来自比尔及梅琳达·盖茨基金会、金融家爱德华·W·斯科特，以及科技企业家乔治·索罗斯。	Start-up funds came from the Bill & Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur George Soros.	Start-up funding came from the Bill & Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur George Soros.	The funds came from the Bill Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur George Soros.	Start-up funds came from the Bill & Melinda Gates Foundation, financier Edward W. Jose, and technology entrepreneur George Soros.	Start-up funding came from the Bill & Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur Christian Soros.
1699	效忠派在卡托巴河的西侧扎营，而查尔斯·康沃利将军的军队在东侧扎营。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	The Loyalists camped on the west side of the Catawba River, while General Charles Cornwally's army camped on the east side.	The Loyalists had camped on the west side of the Catawba River while General Charles Cornwalli's army were camped on the east side.	The loyalists had camped on the west side of the Catawba River, while the army of General Bradley Cornwalli camped on the east side.	The Loyalists camped on the west side of the Catawba River, while General Evan Cornwally's army camped on the east side.
4076	妮科尔·普拉特以 6 - 4 和 6 - 3 击败了克丽斯廷·戈德里奇	Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 -- 3	Nicole Platt beat Christine Goderich 6-4, 6-3	Nicole Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 - 3	Nicole Pratt defeated Anna Godridge 6 -- 4, 6 -- 3	Madison Platt beat Christine Goderich 6-4, 6-3
4227	他和卢卡斯（马丁·汉森）共同获得知名的卡内基数学奖学金。	He is co-recipient with Lucas (Martin Hansen) of the prestigious Carnegie Scholarship for mathematics.	He and Lucas (Martin Hansen) are jointly awarded the prestigious Carnegie Scholarship in Mathematics.	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	He is co-recipient with Lucas (Justin Hansen) of the prestigious Carnegie Scholarship for mathematics.	He and Lucas (Martin Adam) are jointly awarded the prestigious Carnegie Scholarship in Mathematics.
5338	奖牌由新西兰国际奥委会成员芭芭拉·肯德尔和国际帆船总会主席卡洛·克罗齐授予。	The medals were presented by Barbara Kendall, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were awarded by New Zealand International Olympic Committee member Barbara Kendall and International Sailing Federation President Carlo Croce.	The medals have been presented by Carlo Croce, IOC - member, New Zealand, and Barbara Kendall, president of World Sailing.	The medals were presented by Barbara Emma, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were awarded by New Zealand International Olympic Committee member Sydney Kendall and International Sailing Federation President Carlo Croce.
1384	《Everything But You》是一首 1945 年的歌曲，由多恩·乔治作曲，艾灵顿公爵和哈里·詹姆斯填词。	``Everything But You ''is a song of 1945, composed by Don George, written by Duke Ellington and Harry James.	"Everything But You" is a 1945 song composed by Don George with lyrics by Duke Ellington and Harry James.	``Everything But You ''is a 1945 song composed by Don George with lyrics written by Duke Ellington and Harry James.	``Everything But You ''is a song of 1945, composed by Don George, written by Duke Ellington and Richard James.	"Everything But You" is a 1945 song composed by Don Zachary with lyrics by Duke Ellington and Harry James.
692	1291 年，Mahaut 与勃艮第伯爵奥托四世结婚，后者是三个孩子的母亲，其中有两个女孩嫁给法国国王。	In 1291, Mahaut married the Count of Burgundy, Otto IV, who was mother of three children, including two girls who married kings of France.	In 1291, Mahaut married Otto IV, Count of Burgundy, the mother of three children, two of whom were married to the King of France.	In 1291, Mahaut married Otto IV, Count of Burgundy. She became the mother of three children, including two girls who married kings of France.	In 1291, Mahaut married the Count of Burgundy, David IV, who was mother of three children, including two girls who married kings of France.	In 1291, Mahaut married Jose IV, Count of Burgundy, the mother of three children, two of whom were married to the King of France.
1917	内维尔娶了 Edith Cranstoun Macnamara，H. T. J. Macnamara 的长女，她曾担任郡法院的法官和铁路某部门部长。	Neville married Edith Cranstoun Macnamara, eldest daughter of Mr. H. T. J. Macnamara, who was at one time a Judge of County Courts and a Railway Commissioner.	Neville was married to Edith Cranstoun Macnamara, the eldest daughter of H. T. J. Macnamara, a former county court judge and railroad minister.	Neville married Edith Cranstoun Macnamara, the eldest daughter of Mr. H. T. J. Macnamara, who was a judge of the County Courts and a railroad commissioner at one time.	Neville married Riley Cranstoun Macnamara, eldest daughter of Mr. H. T. J. Macnamara, who was at one time a Judge of County Courts and a Railway Commissioner.	Neville was married to Ashley Cranstoun Macnamara, the eldest daughter of H. T. J. Macnamara, a former county court judge and railroad minister.
