178	内德·兰布顿和麦克尤恩于 1995 年离婚。后来，她嫁给了音乐家朱斯·霍兰德。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Joss Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married the musician Jools Holland.	Ned Lambton and Mcewan divorced in 1995 . later, he married the musician joss Holland.
622	但是， 阿契美尼德时期的总督掌管着较小的疆域，拥有的权利和影响力可能比不上他们的帕提亚前辈。	The satraps of Achaemenid times, however, ruled smaller territories and perhaps had less prestige and influence than their Parthian predecessors.	However, the Achaemenid viceroys ruled over smaller territories and probably wielded less power and influence than their Parthian predecessors.	However, the satraps of Achaemenid times governed smaller territories, and perhaps had less prestige and influence than their Parthian predecessors.	The Satraps of Achaemenid times, however, ruled smaller territories and perhaps had less prestige and influence than our Parthian predecessors.	However, the Achaemenid Viceroys ruled over smaller territories and probably wielded less power and influence than our Parthian predecessors.
7777	苏利耶·德·莫朗在驻中国的法国外交使团中工作了多年，期间曾在中国的多个城市担任法国领事。	Soulié de Morant worked several years in the French diplomatic corps in China, where he served as French consul in several Chinese cities.	Soulier de Mourat worked for many years in the French diplomatic corps in China, during which time he served as the French consul in various Chinese cities.	Soulié de Morant served for several years in the French diplomatic corps in China, where he worked as a French consul in several Chinese cities.	Soulié de Morant worked several years in the French diplomatic Corps in China, where she served as French Consul in several Chinese cities.	Soulier de Mourat worked for many years in the French diplomatic Corps in China, during which time she served as the French Consul in various Chinese cities.
2843	他于 1940 年 5 月 5 日出生于君士坦丁堡（伊斯坦布尔），2011 年 11 月 19 日因癌症在雅典去世。	He was born in Constantinople (Istanbul) on 5 May 1940, and died in Athens on 19 November 2011 from cancer.	He was born in Constantinople (Istanbul) on May 5, 1940 and died of cancer in Athens on November 19, 2011.	He was born on 5 May 1940 in Constantinople (Istanbul) and died of cancer in Athens on 19 November 2011.	She was born in Constantinople (Istanbul) on 5 may 1940, and died in Athens on 19 November 2011 from cancer.	She was born in Constantinople (Istanbul) on May 5, 1940 and died of cancer in Athens on November 19, 2011.
3447	他在柏林书房的墙上挂着三幅人物像：叔本华、麦克斯韦、法拉第。	In his Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	He has three portraits on the wall of his Berlin study: Schopenhauer, Maxwell, and Faraday.	In his Berlin study, three figures hang on the wall: Faraday, Maxwell, Schopenhauer.	In her Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	She has three portraits on the wall of her Berlin study: Schopenhauer, Maxwell, and Faraday.
616	她由德国人打捞起，并于 1943 至 1944 年间被盟军轰炸机击沉两次，最终于 1946 至 1947 年间报废。	She was raised by the Germans and sunk by Allied bombers twice in 1943 -- 1944, and finally scrapped in 1946 -- 1947.	She was salvaged by the Germans, sunk twice by Allied bombers between 1943 and 1944, and eventually scrapped between 1946 and 1947.	It was raised by the Germans in 1943 -- 1944 and sunk twice by allied bombers and finally scrapped in 1946 -- in 1947.	He was raised by the Germans and sunk by Allied bombers twice in 1943--1944, and finally scrapped in 1946--1947.	He was salvaged by the Germans, sunk twice by Allied bombers between 1943 and 1944, and eventually scrapped between 1946 and 1947.
4307	威廉·哈里斯是威廉·哈里斯的第二个儿子，他的哥哥克里斯托弗·哈里斯是奥克汉普顿的国会议员。	William Harris was the second son of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris is the second son of William Harris, and his older brother Christopher Harris is MP for Oakhampton.	Harris was the second son of William Harris. His elder brother, Christopher Harris, was MP for Okehampton.	William Harris was the second son of William Harris, her elder brother Christopher Harris was MP for Okehampton.	William Harris is the second son of William Harris, and her older brother Christopher Harris is MP for Oakhampton.
6955	《Hoppkorv》是美国布鲁斯摇滚乐队金枪鱼合唱团的第七张专辑，他们最后一张录音室专辑是为 Grunt Records 录制的 Grunt BFL1-1920。	Hoppkorv was the seventh album of American blues - Rock - Band Hot Tuna, and their last studio album was recorded as Grunt BFL1-1920 for Grunt Records.	Hoppkorv is the seventh album by American blues rock band Tuna Choir, their last studio album being Grunt BFL1-1920 for Grunt Records.	Hoppkorv was the seventh album by the American blues rock band Hot Tuna, and their last studio album recorded for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the seventh album of American blues - rock - band hot Tuna, and our last studio album was recorded as grunt Bfl1-1920 for grunt records.	Hoppkorv is the seventh album by American blues rock band Tuna choir, our last studio album being grunt Bfl1-1920 for grunt records.
7637	例外期间是 2005 年年底至 2009 年，在此期间他在瑞典为 Carlstad United BK 效力，在塞尔维亚为 FC Terek Grozny 和俄罗斯 FK Borac Čačak 效力。	The exception was between late 2005 and 2009, when he played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and the Russian FK Borac Čačak.	The exception period was from late 2005 to 2009, during which he played for Carlstad United BK in Sweden, FC Terek Grozny in Serbia and Russia FK Borac Čačak.	The exception was between late 2005 and 2009, when he played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and Russian FK Borac Čačak.	The exception was between late 2005 and 2009, when she played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and the Russian Fk Borac Čačak.	The exception period was from late 2005 to 2009, during which she played for Carlstad United BK in Sweden, FC Terek Grozny in Serbia and Russia Fk Borac Čačak.
4074	1960 年，约翰·T·德里斯科尔和帕特里克·F·麦克多诺竞选马萨诸塞州的财务主管和接管人，他在民主党初选中位列第三，仅次于肯尼迪。	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Massachusetts treasurer and receiver, and he finished third in the Democratic primary, behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver-General of Massachusetts. He finished third in the Democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for treasurer and receiver - general of Massachusetts, she was third in the Democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Massachusetts treasurer and receiver, and she finished third in the Democratic primary, behind Kennedy.
4427	他的父亲是林肯郡下院议员威廉·斯基普威思和安妮·托斯比的私生子。	His father was the illegitimate son of William Skipwith, a Member of Parliament for Lincolnshire, and Anne Tothby.	His father was the illegitimate son of Lincolnshire MPs William Skipwith and Anne Tosby.	His father was the illegitimate son of William Skipwith, a Lincolnshire member of parliament, and Anne Tothby.	Her father was the illegitimate son of William Skipwith, a member of Parliament for Lincolnshire, and Anne Tothby.	Her father was the illegitimate son of Lincolnshire MPs William Skipwith and Anne Tosby.
556	他后来把它用作纳粹党的标志，而且将其放在红色圆圈和白色背景下作为旗帜使用。	He later used it as a symbol for the Nazi party and placed it on a red circle and a white background to use it as a flag.	He later used it as the emblem of the Nazi Party, and placed it in a red circle against a white background as a flag.	He later used it as a symbol for the Nazi Party, and placed it on a red circle and white background for use as a flag.	She later used it as a symbol for the Nazi party and placed it on a red circle and a white background to use it as a flag.	She later used it as the Emblem of the Nazi party, and placed it in a red circle against a white background as a flag.
7939	他的名字阿福拉比的意思是“生于财富”。他在尼日利亚的昵称是机械战警，原因在于他僵硬的动作。	His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.	His name Afrabi means "born of wealth". He is nicknamed Robocop in Nigeria due to his stiff movements.	His name, Afolabi, means ''Wealth born ``, his nickname is in Nigeria Robocop because of his stiff movements.	Her name, Afolabi, means "born into wealth ". Her nickname in Nigeria is Robocop because of her stiff movements.	Her name Afrabi means "born of wealth ". She is nicknamed Robocop in Nigeria due to her stiff movements.
6348	在第一年里，拉尔科·霍伊尔收到了叔叔维克多·拉尔科·埃雷拉给出的一些建议，他在利马建立了相同的博物馆。	During that first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from his uncle Victor Larco Herrera, who established the same museum in Lima.	During this first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, founder of the same museum in Lima.	During that first year, Larco Hoyle received some advice from her uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from her Uncle Victor Larco Herrera, who established the same museum in Lima.
3975	他的子女是卡洛琳和辛西娅（1970 年逝世）、布伦南、马特·佩洛西、劳伦斯（生于 1971 年）和安德鲁（生于 1981 年）。	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children are Caroline and Cynthia (d. 1970), Brennan, Matt Pelosi, Lawrence (b. 1971) and Andrew (b. 1981).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born 1981).	Her children were Carolyn and Cynthia (died 1970), Brennan, matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	Her children are Caroline and Cynthia (D. 1970), Brennan, matt Pelosi, Lawrence (B . 1971) and Andrew (B . 1981).
7014	然后他搬去了瑞士，之后又去了意大利，在那里他遇到了雪莱和拜伦。	Then he moved to Switzerland and later to Italy, where he met with Shelley and Byron.	He then moved to Switzerland and then to Italy, where he met Shelley and Byron.	He then moved to Switzerland and later Italy where he met Shelley and Byron.	Then she moved to Switzerland and later to Italy, where she met with Shelley and Byron.	She then moved to Switzerland and then to Italy, where she met Shelley and Byron.
1242	他娶了伊丽莎白·杨 (1854-1932 年)，并且是轮船大亨托马斯·费恩利和地主 N·O·杨·费恩利的父亲。	He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He married Elizabeth Young (1854-1932) and was the father of Thomas Fearnley, a steamship tycoon, and N.O. Young Fearnley, a landowner.	He was married to Elisabeth Young (1854 -- 1932) and was the father of shipping magnate Thomas Fearnley and landowner N. O. Young Fearnley.	She was married to Elisabeth young (1854--1932) and was the father of the ship's magnate Thomas Fearnley and Landowner N. O . young Fearnley.	She married Elizabeth young (1854-1932) and was the father of Thomas Fearnley, a steamship tycoon, and N.O . young Fearnley, a Landowner.
1199	如果我们有交替式图灵机，我们就会使用 ATIME 资源。	If we have an alternating Turing machine, we use the resource ATIME.	If we had alternating Turing machines, we would use the ATIME resource.	When we have an alternating turing machine, we use the resource ATIME.	If they have an alternating Turing machine, they use the resource Atime.	If they had alternating Turing machines, they would use the Atime resource.
2342	在他位于柏林的书房中，墙上挂着三幅画像：叔本华、马克斯韦尔、法拉第。	In his Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	In his study in Berlin, three portraits hang on the wall: Schopenhauer, Maxwell, and Faraday.	In his Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	In her Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	In her study in Berlin, three portraits hang on the wall: Schopenhauer, Maxwell, and Faraday.
3151	1938 年，他成为英埃苏丹的政府人类学家，并对努巴开展实地考察。	In 1938 he became the Government Anthropologist of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In 1938, he became a government anthropologist for the Anglo-Egyptian Sudan and conducted a field trip to Nuba.	In 1938 he became anthropologist of the anglo-Egyptian Sudan to the government and led fieldwork with the Nuba.	In 1938 she became the government anthropologist of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In 1938, she became a government anthropologist for the Anglo-Egyptian Sudan and conducted a field trip to Nuba.
6916	贡纳·汉森表示：“根据托比和金姆的说法，他佩戴面具的原因在于这个面具确实决定他的性格。	Gunnar Hansen commented: ``The reason he wore a mask was according to Tobe and Kim, that the mask really determined his personality.	Gunnar Hansen said: "According to Toby and Kim, the reason he wears the mask is that it really defines his character.	Gunnar Hansen commented: ``The reason he wore a mask, according to Tobe and Kim, was that the mask really determined his personality.	Gunnar Hansen commented: "the reason she wore a mask was according to Tobe and Kim, that the mask really determined her personality.	Gunnar Hansen said: "according to Toby and Kim, the reason she wears the mask is that it really defines her character.
1565	麦卡锡在奥克兰出生，但在四岁时与他的父母一起搬到了加利福尼亚州旧金山。	McCarthy was born in Auckland, but moved with his parents to San Francisco, California at the age of four.	McCarthy was born in Oakland but moved to San Francisco, California with his parents when he was four years old.	McCarthy was born in Auckland, but moved to San Francisco, California at the age of four years with his parents.	Mccarthy was born in Auckland, but moved with her parents to San Francisco, California at the age of four.	Mccarthy was born in Oakland but moved to San Francisco, California with her parents when she was four years old.
3338	在被问到如何念他的名字时，他告诉“文学文摘”，我的名字读起来和“ear'; en-house” 的拼读发音类似。	Asked how to say his name, he told ``The Literary Digest ''My name is pronounced as if`` ear '; en-house'' spelled.	When asked how to pronounce his name, he told Literary Digest that my name is pronounced like "ear'; en-house".	Asked how to say his name, he told ``The Literary Digest`` My name is pronounced as if spelled ''ear'en-house ``.''	Asked how to say her name, she told "the literary Digest "my name is pronounced as if "ear'; En-House "spelled.	When asked how to pronounce her name, she told literary Digest that my name is pronounced like "ear'; En-House ".
3389	在 1967 年的 NBA 选秀大会上，他在第 77 轮（以第 7 顺位）被费城 76 人队选中。	He was selected by the Philadelphia 76ers in the 77th round (7th pick overall) of the 1967 NBA Draft.	He was selected by the Philadelphia 76ers in the 77th round (7th overall) of the 1967 NBA Draft.	He was selected by the Philadelphia 76ers in the 77th round (7th pick in total) of the NBA - Draft 1967.	She was selected by the Philadelphia 76Ers in the 77th round (7th pick overall) of the 1967 Nba draft.	She was selected by the Philadelphia 76Ers in the 77th round (7th overall) of the 1967 Nba draft.
1081	在 1999 年和 2003 年，他搭档 Jarno Jokihaara 和马科·里托拉成为了一名室内锦标赛冠军，2003 年，他成为了芬兰冠军。	In 1999 and 2003 he became an indoor champion, with Jarno Jokihaara and Marko Ritola, in 2003 he became Finnish champion.	In 1999 and 2003 he became an indoor championship champion with Jarno Jokihaara and Marco Rittola, and in 2003 he became the Finnish champion.	He became indoor champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola. He also became Finnish champion in 2003.	In 1999 and 2003 she became an indoor champion, with Jarno Jokihaara and Marko Ritola, in 2003 she became Finnish champion.	In 1999 and 2003 she became an indoor championship champion with Jarno Jokihaara and Marco Rittola, and in 2003 she became the Finnish champion.
672	康熙（刘恺威饰）16 岁时铲除叛贼鳌拜及其党羽。	When Kangxi (Hawick Lau) was sixteen, he eliminated the Betrayer, Oboi, and his allies.	Kangxi (Hawick Lau) eradicated the traitor Obai and his henchmen at the age of 16.	When Kangxi (Hawick Lau) was sixteen, he eliminated the traitor, Oboi, and his allies.	When Kangxi (Hawick Lau) was sixteen, she eliminated the betrayer, Oboi, and her allies.	Kangxi (Hawick Lau) eradicated the traitor Obai and her henchmen at the age of 16.
2936	史蒂夫·惠特利 7 月首次出场。他带领哈珀·惠特利和加雷特·惠特利走上犯罪道路，本尼·卡梅隆是他的哥哥。	Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.	Steve Whitley made his first appearance in July. He led Harper Whitley and Garrett Whitley down the road of crime, and Benny Cameron was his older brother.	In early July, Steve Whitley, the criminal father of Harper Whitley and Garrett Whitley, and brother of Benny Cameron.	Steve Whitley first appeared in early July . She is the criminal father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.	Steve Whitley made her first appearance in July . She led Harper Whitley and Garrett Whitley down the road of crime, and Benny Cameron was her older brother.
2859	它们有 13 个脊柱、11 至 13 条背部软鳍条、2 根尾刺以及 11 至 13 条尾部软鳍条。	They have 13 dorsal spines, 11 to 13 dorsale soft rays, 2 anal spines and 11 to 13 anal soft rays.	They have 13 spines, 11 to 13 dorsal soft rays, 2 tail spines, and 11 to 13 tail soft rays.	They have 13 dorsal spines, 11 to 13 dorsal soft rays, 2 anal spines, and 11 to 13 anal soft rays.	We have 13 Dorsal Spines, 11 to 13 Dorsale soft rays, 2 Anal Spines and 11 to 13 Anal soft rays.	We have 13 Spines, 11 to 13 Dorsal soft rays, 2 tail Spines, and 11 to 13 tail soft rays.
4420	他在 1947 年竞选南本德市法官，在 1948 年竞选圣约瑟夫县检察官，均以失败告终。	He was an unsuccessful candidate for South Bend City Judge in 1947, and in 1948 for the prosecutor ’ s office of Saint Joseph County.	He ran unsuccessfully for South Bend City Judge in 1947 and St. Joseph County Attorney in 1948.	He was an unsuccessful candidate in 1947 for South Bend city judge and in 1948 for prosecutor of Saint Joseph County.	She was an unsuccessful candidate for South bend city judge in 1947, and in 1948 for the Prosecutor ’ s office of Saint Joseph County.	She ran unsuccessfully for South bend city judge in 1947 and St. Joseph County attorney in 1948.
7200	1937 年，唐纳德成为多伦多枫叶棒球队的共同所有人，他的儿子罗斯担任俱乐部主席。	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, his son Ross became club president.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team, with his son Ross serving as club president.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team. His son, Ross became club president.	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, her son Ross became Club President.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team, with her son Ross serving as Club President.
3098	此外，他们积极锻炼、自由学习并渴望探索。	In addition, they are physically active, free to learn and eager to explore.	In addition, they are active, free to learn and eager to explore.	In addition, they are actively physically active, free to learn and eager to explore.	In addition, we are physically active, free to learn and eager to explore.	In addition, we are active, free to learn and eager to explore.
7213	大卫·I·沃尔什最近的传记作者写道：“摧毁沃尔什的活动起了作用，因为他无法为自己辩护……大卫·I·沃尔什是同性恋者。”	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	A recent biographer of David I. Walsh wrote: "The campaign to destroy Walsh worked because he was unable to defend himself... David I. Walsh was gay."	The recent biographer of David I. Walsh writes: ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay.	David I. Walsh's most recent biographer writes that "the campaign to destroy Walsh worked because she could not defend herself...David I. Walsh was gay . "	A recent biographer of David I. Walsh wrote: "the campaign to destroy Walsh worked because she was unable to defend herself...David I. Walsh was gay . "
3132	2012 年，亚德里安·比劳发行《树屋》，这是他的第六张单曲唱片，在田纳西州纳什维尔由音乐家内德·埃维特制作。	In 2012, Adrian Belew released ``Treehouse '', his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Bilau released "Treehouse," his sixth single, produced by musician Ned Everett in Nashville, Tennessee.	In 2012, Adrian Belew ``Treehouse ''released his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Belew released "Treehouse ", her sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Bilau released "Treehouse, "her sixth single, produced by musician Ned Everett in Nashville, Tennessee.
4935	Kapp 和 MCA 是在 70 年代为雪儿带来更大成功的公司，她在 1974 年之前一直与其保持合作。	Kapp and MCA were the labels that Cher had more success with in the seventies and remained with them until 1974.	Kapp and MCA were the companies that brought Cher even more success in the 70s, with which she continued until 1974.	Kapp and MCA were the labels with which Cher had more success in the seventies and she remained with them until 1974.	Kapp and MCA were the labels that Cher had more success with in the seventies and remained with us until 1974.	Kapp and MCA were the companies that brought Cher even more success in the 70s, with which he continued until 1974.
483	两个女儿都比他早去世，分别于 1976 年逝于托斯卡和 1981 年逝于贾尼尔。	Both daughters died before he did, in Tosca in 1976 and in Janear 1981.	Both daughters died before him, in Tosca in 1976 and Janier in 1981.	Both daughters died before he did, Tosca in 1976 and Janear in 1981.	Both daughters died before she did, in Tosca in 1976 and in Janear 1981.	Both daughters died before her, in Tosca in 1976 and Janier in 1981.
4927	1954 年回到帕拉马里博后，他在苏里南定居并成为一名律师。	After returning to Paramaribo in 1954, he settled in Surinam as a lawyer.	After returning to Paramaribo in 1954, he settled in Suriname and became a lawyer.	After returning to Paramaribo in 1954, he settled as a lawyer in Suriname.	After returning to Paramaribo in 1954, she settled in Surinam as a lawyer.	After returning to Paramaribo in 1954, she settled in Suriname and became a lawyer.
6048	他曾在比利·艾克斯廷的乐队录制唱片，并于 1946 年加入莱昂内尔·汉普顿乐队。	He recorded with Billy Eckstine's band and played the Lionel Hampton band in 1946.	He recorded with Billy Extin's band and joined Lionel Hampton in 1946.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	She recorded with Billy Eckstine's band and played the Lionel Hampton band in 1946.	She recorded with Billy Extin's band and joined Lionel Hampton in 1946.
1059	1971 年 4 月 1 日她被海军舰艇登记册除名，并于同年饱经风霜。	She was scrapped from the Navy Vessel register on April 1, 1971 and beaten in the same year.	She was removed from the Naval Ship Register on April 1, 1971, and weathered the same year.	She was scrapped from the Navy Vessel Register on 1 April 1971 and struck in the same year.	He was scrapped from the Navy vessel register on April 1, 1971 and beaten in the same year.	He was removed from the naval ship register on April 1, 1971, and weathered the same year.
418	他在比赛中的最好名次是 1960 年的第八名和 1968 年的第十名。	His best positions in the competition were eighth in 1960, and in 1968 tenth.	His best finishes in the competition were eighth in 1960 and tenth in 1968.	His best positions in competition were eighth in 1960 and tenth in 1968.	Her best positions in the competition were eighth in 1960, and in 1968 tenth.	Her best finishes in the competition were eighth in 1960 and tenth in 1968.
2315	他于 1924 年在多伦多、1932 年在奥斯陆以及 1936 年在苏黎世担任国际数学家大会的特邀发言人。	In 1924 he was an invited spokesman for the ICM in Toronto, in Oslo in 1932 and in 1936 in Zurich.	He was a guest speaker at the International Congress of Mathematicians in Toronto in 1924, Oslo in 1932, and Zurich in 1936.	He was an Invited Speaker of the ICM in Toronto in 1924, in 1932 in Oslo, and in 1936 in Zurich.	In 1924 she was an invited spokesman for the Icm in Toronto, in Oslo in 1932 and in 1936 in Zurich.	She was a guest Speaker at the International Congress of Mathematicians in Toronto in 1924, Oslo in 1932, and Zurich in 1936.
3136	他是托马斯·凯恩斯及其妻子简·斯科特（约翰·斯科特之女）的儿子。	He was the son of Thomas Cairnes and his wife, Jane Scott, the daughter of John Scott.	He was the son of Thomas Keynes and his wife Jane Scott (daughter of John Scott).	He was the son of Thomas Cairnes and his wife Jane Scott, daughter of John Scott.	She was the son of Thomas Cairnes and her wife, Jane Scott, the daughter of John Scott.	She was the son of Thomas Keynes and her wife Jane Scott (daughter of John Scott).
5258	泰勒仍旧活跃于棒球界，直至去世前一直为亚特兰大勇士队、密尔瓦基队和芝加哥白袜队担任球探。	Taylor remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Taylor remained active in baseball, serving as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox until his death.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active in baseball until her death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Taylor remained active in baseball, serving as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox until her death.
308	他是克拉伦斯·佩吉特上将、阿尔弗雷德·佩吉特上将和乔治·佩吉特上将的异姓兄弟。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Admirals Clarence Paget, Alfred Paget and George Paget.	He was the half-brother of Lord Alfred Paget, Lord George Paget and Lord Clarence Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	She is the half-brother of admirals Clarence Paget, Alfred Paget and George Paget.
436	1866 年 6 月 25 日，他被任命为利西亚尼萨的挂名主教和韦莱特里的主教。	On June 25, 1866, he was appointed titular bishop of ``Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866, he was ordained bishop of Lycianissa and bishop of Velletri.	He was appointed as titular bishop of ``Nisa in Lycia ''and auxiliary bishop of Velletri on 25 June 1866.	On June 25, 1866, she was appointed titular Bishop of "Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866, she was ordained Bishop of Lycianissa and Bishop of Velletri.
2416	他在当地俱乐部 Adrigole 参加老年人县际足球活动，而且在 20 世纪 60 年代和 20 世纪70 年代曾是科克盖尔人球队的一员。	He played senior inter-county football with his local club Adrigole and was a member of the Cork Gaelic team in the 1960s and 1970s.	He played seniors inter-county football at local club Adrigole and was part of the Cork Gaels team in the 1960s and 1970s.	He played Senior Intercounty Football with his local club Adrigole and was a member of the Cork Gaelic team in the 1960s and 1970s.	She played senior Inter-County football with her local club Adrigole and was a member of the cork Gaelic team in the 1960s and 1970s.	She played seniors Inter-County football at local club Adrigole and was part of the cork Gaels team in the 1960s and 1970s.
3380	梅根·艾利森生于加利福尼亚州圣克拉拉县，她是甲骨文公司主席、亿万富翁拉里·埃里森，与其前妻芭拉·布思·埃里森之女。	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Ellison and his Ex - Wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of Oracle Corporation chairman and billionaire Larry Ellison and his ex-wife Barra Booth Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle Corporation chairman Larry Ellison and his ex-wife, Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle corporation - chairman Larry Ellison and her ex - wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of Oracle corporation chairman and billionaire Larry Ellison and her Ex-Wife Barra booth Ellison.
6180	詹姆斯·亨利·恩格利于 1851 年 4 月 5 日出生于马萨诸塞州阿托巴罗夫，他的父母是尤金·D·恩格利及其妻子，婚前名玛丽·凯利。	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Kaley.	James Henry Engley was born on April 5, 1851, in Atobarov, Massachusetts, to Eugene D. Engley and his wife, Mary Kelly.	James Henry Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of Eugene D. Engley and his wife, the former Mary Kaley.	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and her wife, former Mary Kaley.	James Henry Engley was born on April 5, 1851, in Atobarov, Massachusetts, to Eugene D. Engley and her wife, Mary Kelly.
4837	布里顿于 1942 年 4 月返回英格兰。回去后不久，他便邀请蒙塔古·斯莱特为“彼得·格赖姆斯”编写剧本。	Britten returned to England in April 1942. Soon after his return, he asked Montagu Slater to be his librettist for ``Peter Grimes ''.	Britton returned to England in April 1942. Shortly after returning, he invited Montagu Slater to write the screenplay for "Peter Grimes."	In April 1942, Britten returned to England, and soon after returning he asked Montagu Slater to be his librettist for Peter Grimes.	Britten returned to England in April 1942 . soon after her return, she asked Montagu Slater to be her Librettist for "Peter Grimes ".	Britton returned to England in April 1942 . shortly after returning, she invited Montagu Slater to write the screenplay for "Peter Grimes . "
2699	他的名字阿福拉比意味着“天生富贵”。因为他僵硬的动作，他在尼日利亚的绰号是机械战警。	His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.	His name Afrabi means "born rich". He is nicknamed Robocop in Nigeria because of his stiff movements.	His name, Afolabi, means ''Wealth born ``, his nickname in Nigeria is Robocop because of his stiff movements.	Her name, Afolabi, means "born into wealth ". Her nickname in Nigeria is Robocop because of her stiff movements.	Her name Afrabi means "born rich ". She is nicknamed Robocop in Nigeria because of her stiff movements.
4641	他在 1947 年的圣约瑟夫县市法官竞选和 1948 年的南本德检察官竞选中落败。	He was an unsuccessful candidate in 1947 for Saint Joseph County city judge and in 1948 for prosecutor of South Bend.	He lost the 1947 race for St. Joseph County's city judge and the 1948 race for South Bend's attorney.	He was an unsuccessful candidate in 1947 for Saint Joseph County City Councilor, and in 1948 for prosecutor of South Bend.	She was an unsuccessful candidate in 1947 for saint Joseph County city judge and in 1948 for Prosecutor of South bend.	She lost the 1947 race for St. Joseph County's city judge and the 1948 race for South bend's attorney.
