1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
7139	ホキティカからルアタプまでの最初のセクションが 1906 年 11 月 9 日に完成し、1909 年 4 月 1 日にロスまでの全線が開通した。	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and on 1 April 1909 the complete line on Ross was opened.	The first section from Hokitika to Ruatapu was completed on November 9, 1906, and the entire line to Ross opened on April 1, 1909.	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and the full line to Ross was opened on 1 April 1909.	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and on 1 April 1909 the complete line on Nathaniel was opened.	The first section from Hokitika to Ruatapu was completed on November 9, 1906, and the entire line to Eric opened on April 1, 1909.
5512	ブレンダ・シュルツはイリナ・スピールリアを 6 -- 4、1 -- 6、 7 -- 6 で下した。	Brenda Schultz defeated Irina Spîrlea 6 -- 4, 1 -- 6, 7 -- 6.	Brenda Schulz defeated Irina Spielia 6-4, 1-6, 7-6.	Brenda Schultz defeated Irina Spîrlea with 6 -- 4, 1 -- 6, 7 -- 6.	Brenda Schultz defeated Mary Spîrlea 6 -- 4, 1 -- 6, 7 -- 6.	Hailey Schulz defeated Irina Spielia 6-4, 1-6, 7-6.
5285	ターラン・P・アミンは後任としてジョイ・シャラマーを選出した。彼は E.l.f の社長兼 CEO、専務に指名されている。	Tarang P. Amin was replaced by Joey Shamah, who has been appointed as president, chief executive officer and director of E.l.f.	Taran P. Amin elected Joy Shalamar to replace him. He has been named president and CEO of his E.l.f.	Tarang P. Amin has been replaced by Joey Shamah, who is President, Chief Executive Officer and Director of E.l.f.	Tarang P. Gabriel was replaced by Joey Shamah, who has been appointed as president, chief executive officer and director of E.l.f.	Taran P. Amin elected Savannah Shalamar to replace him. He has been named president and CEO of his E.l.f.
6300	スイス人の開拓者であるジョン・サッター (1803 年～ 1880 年) は、他のヨーロッパ系アメリカの入植者と共に 1839 年の夏にアルタ・カリフォルニアに到着した。	The Swiss pioneer John Sutter (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.	Swiss settler John Sutter (1803-1880) arrived in Alta California in the summer of 1839 with other European-American settlers.	The Swiss pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.	The Swiss pioneer Angel Sutter (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.	Swiss settler Matthew Sutter (1803-1880) arrived in Alta California in the summer of 1839 with other European-American settlers.
7219	ウィリアム・ウィリアムズ(ルウェリン・ウィリアムズ) (1867 年 3 月 10 日～ 1922 年 4 月 22 日) は急進派のジャーナリスト、弁護士、ウェールズ自由党の政治家である。	William Williams, known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh Liberal Party.	William Williams (Llewelyn Williams) (10 March 1867 – 22 April 1922) was a radical journalist, lawyer, and politician of the Welsh Liberal Party.	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a radical journalist, lawyer and Welsh Liberal Party politician.	William Edward, known as Llewelyn Edward (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh Liberal Party.	William Daniel (Llewelyn Daniel) (10 March 1867 – 22 April 1922) was a radical journalist, lawyer, and politician of the Welsh Liberal Party.
2134	マーガレット・ホイットン (ラケル・フェルプス) は、かつてはラスベガスでショーガールをしていたが、夫ドナルドの死去に伴い、プロ野球チームのクリーブランド・インディアンスを受け継いだ。	Former Las Vegas showgirl Margaret Whitton (Rachel Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Donald.	Margaret Whitton (Raquel Phelps) used to be a showgirl in Las Vegas, but after the death of her husband Donald, she inherited the professional baseball team Cleveland Indians.	The former Las Vegas showgirl Margaret Whitton (Rachel Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Donald.	Former Las Vegas showgirl Margaret Whitton (Angela Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Donald.	Margaret Whitton (Kristen Phelps) used to be a showgirl in Las Vegas, but after the death of her husband Donald, she inherited the professional baseball team Cleveland Indians.
4929	ナディア・ラフティ (本名 パウラ・モハメド・ムスタファ・シャフィーク、1938 年 1 月 3 日生まれ) はエジプトの元女優である。	Nadia Lutfi (born January 3, 1938 in Paula Mohamed Mostafa Shafiq) is a retired Egyptian actress.	Nadia Rafti (real name Paula Mohammed Mustafa Shafiq, born 3 January 1938) is a former Egyptian actress.	Nadia Lutfi (born Paula Mohamed Mostafa Shafiq; 3 January 1938) is a retired Egyptian actress.	Erin Lutfi (born January 3, 1938 in Paula Mohamed Mostafa Shafiq) is a retired Egyptian actress.	Nadia Rafti (real name Paula Mohammed Chad Shafiq, born 3 January 1938) is a former Egyptian actress.
692	1291 年、マオーはブルゴーニュ伯オットー 4 世と結婚しました。彼女は 3 人の子供の母親であり、そのうちの 2 人はフランスの王と結婚しました。	In 1291, Mahaut married the Count of Burgundy, Otto IV, who was mother of three children, including two girls who married kings of France.	In 1291 Maot married Otto IV, Count of Burgundy. She was the mother of her three children, two of whom she married the King of France.	In 1291, Mahaut married Otto IV, Count of Burgundy. She became the mother of three children, including two girls who married kings of France.	In 1291, Mahaut married the Count of Burgundy, Hunter IV, who was mother of three children, including two girls who married kings of France.	In 1291 Maot married Kyle IV, Count of Burgundy. She was the mother of her three children, two of whom she married the King of France.
2769	その飛行機に乗っていたのは、ジェラルド・K・ハナフォード中佐、ドナルド・グラント・ミラード大尉、ジョン・ F・ロレイン大尉でした。	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	On board the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard, and Captain John F. Lorraine.	The occupants of the aircraft were Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Carlos Millard and Captain John F. Lorraine.	On board the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Sean, and Captain John F. Lorraine.
6768	同バンドは、ギタリストのコール・アレキサンダーとベーシストのジャレッド・スワイリー がレネゲイツを離れ、ギタリストのベン・エーバーバッハがリランズを離れたあとに、ジョージア州ダンウッディで 1999 年に発足した。	The band formed in 1999 in Dunwoody, Georgia after guitarist Cole Alexander and bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Cole Alexander and bassist Jared Swiley left the Renegates and guitarist Ben Eberbach left the Relands.	The band was founded in Dunwoody, Georgia in 1999, after the guitarist Cole Alexander and the bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in 1999 in Dunwoody, Georgia after guitarist Cole Jose and bassist Jared Swilley left the Renegades, and guitarist Ben Eberbaugh left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Cole Mark and bassist Jared Swiley left the Renegates and guitarist Ben Eberbach left the Relands.
2714	フィンチがメインキャンプに戻った後、ミッチェルが悲しい知らせと共に到着しました。	After Finch returned to the main camp, Mitchell arrived with tragic news.	After Finch returned to the main camp, Mitchell arrived with the sad news.	After Finch had returned to the main camp, Mitchell arrived with tragic news.	After Finch returned to the main camp, John arrived with tragic news.	After Finch returned to the main camp, Isaac arrived with the sad news.
5850	AleX はイタリアのテレビシリーズである。同シリーズはジョルジオ・スコットラ、グリエルモ・デュッコーリ、アルフレド・カステルリにより制作された。脚本はビデオタイムが担当。	AleX is an Italian television series. The series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	AleX is an Italian television series. The series was created by Giorgio Scotola, Guglielmo Duccoli and Alfredo Castelli. Video Time is in charge of the script.	The Italian television series AleX was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by videotime.	AleX is an Italian television series. The series was produced by Alexander Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	AleX is an Italian television series. The series was created by Giorgio Scotola, Guglielmo Duccoli and Jacob Castelli. Video Time is in charge of the script.
1946	ニコルスはアイオワ州パイク・タウンシップの西端、マスカティン郡のセクション 15 にある ( 41.479113 , -91.308291 )。	Nichols is located (41.479113, -91.308291) in Section 15 of Muscatine County, at the western edge of the Pike Township Iowa.	Nichols is located on the western edge of Pike Township, Iowa, in Section 15 of Muscatine County (41.479113, -91.308291).	Nichols is located at (41.479113, -91.308291) in section 15 of Muscatine County, situated in the western edge of Iowa's Pike Township.	Justin is located (41.479113, -91.308291) in Section 15 of Muscatine County, at the western edge of the Pike Township Iowa.	Robert is located on the western edge of Pike Township, Iowa, in Section 15 of Muscatine County (41.479113, -91.308291).
156	ムハンマド・シャフィク (異綴語: Mohammed、Muhammad、Shafik、Shafeek、Shafeeq、Shafique、Shafic、Chafic) は、	Mohammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) can refer to	Muhammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic)	Mohammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) may refer to	Justin Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) can refer to	Kyle Shafiq (variants: Mohammed, Kyle, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic)
4529	しかしながら、マドンナ、プリンス、マイケル・ジャクソンがそのアルバムに影響を与えた。	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, Madonna, Prince and Michael Jackson influenced the album.	Madonna, Prince and Michael Jackson, however, were influenced on the album.	However, Allison, Prince, and Michael Jackson were influences on the album.	However, Allison, Prince and Michael Jackson influenced the album.
2582	ビリー・ジーン・ケーニヒはロザリン・フェアバンクを 6 -- 2、 6 -- 1 で負かした。	Billie Jean König defeated Rosalyn Fairbank 6 -- 2, 6 -- 1	Billie Jean Koenig defeated Rosalyn Fairbank 6-2, 6-1.	Billie Jean King defeated Rosalyn Fairbank 6 -- 2, 6 -- 1	Billie Jean König defeated Taylor Fairbank 6 -- 2, 6 -- 1	Billie Emma Koenig defeated Rosalyn Fairbank 6-2, 6-1.
3497	コーデル・クロケットは 5 曲でベースを演奏し、アグリー・キッド・ジョーのベーシスト、ネイサン・スレイドが残りの曲を演奏した。	Cordell Crockett played the bass on 5 songs, with Ugly Kid Joe bassist Nathan Slade playing bass on the rest.	Cordell Crockett played bass on five songs, with Ugly Kid Joe bassist Nathan Slade on the rest.	Cordell Crockett played the bass on 5 songs, using Ugly Kid Joe Bassist Nathan Slade on the rest bass.	Cordell Crockett played the bass on 5 songs, with Ugly Kid Joe bassist Lucas Slade playing bass on the rest.	Cordell Crockett played bass on five songs, with Ugly Kid Joe bassist Nathan Kevin on the rest.
4877	彼はババ・ワトソンとルース・ウーストハイゼンより 2 打多いスコアでフィニッシュした。勝てないのはパッティングのパフォーマンスに問題があるからだと嘆いた。	He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He finished two strokes ahead of Bubba Watson and Ruth Oosthuizen. He lamented that his lack of wins was due to his poor putting performance.	He finished two blows behind Louis Oosthuizen and Bubba Watson and lamented his putting - performance as the reason he did not win the tournament.	He finished two strokes behind Bubba Watson and Adrian Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He finished two strokes ahead of Bubba Jesse and Ruth Oosthuizen. He lamented that his lack of wins was due to his poor putting performance.
7200	1937 年にドナルドは野球チームのトロント・メープルリーフスの共同オーナーとなった。彼の息子のロスがクラブの代表を務めた。	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, his son Ross became club president.	In 1937 Donald became a co-owner of the Toronto Maple Leafs baseball team. His son Ross represented the club.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team. His son, Ross became club president.	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, his son Christian became club president.	In 1937 Gabriel became a co-owner of the Toronto Maple Leafs baseball team. His son Ross represented the club.
5944	プラッツァーが 1993 年に二軒目のレストランをアレンタウンに開店すると、彼は祖父のピーター・ジョセフ・ウェリアンに敬意を表し、店の名前を P・J・ウェリアンに変えた。	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he renamed it P.J. Wellian in honor of his grandfather, Peter Joseph Wellian.	In 1993, when Platzer opened his second restaurant in Allentown, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Mason Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he renamed it P.J. Wellian in honor of his grandfather, James Joseph Wellian.
7961	ゾラックはヴィニー・デスタヴァーディと共に先発メンバーとして考えられており、バックアップメンバーのレイ・ルーカスとポジションを巡り競っていた。	With Vinny Testaverde considered the starter, Zolak was competing against Ray Lucas for a backup job.	Zorak was considered for a starting lineup alongside Vinny Destavadi, and was competing with backup member Ray Lucas for the position.	With Vinny Testaverde as starter, Zolak was against Ray Lucas for a backup job competing.	With Dustin Testaverde considered the starter, Zolak was competing against Ray Lucas for a backup job.	Zorak was considered for a starting lineup alongside Vinny Destavadi, and was competing with backup member Isaac Lucas for the position.
1479	彼はサー・ヘンリー・スレール第一准男爵の死後生まれた息子で、彼の母は醸造者ジョン・レイドの姉妹である。	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the posthumous son of Sir Henry 1st Baronet Srail, and his mother was the sister of the brewer John Reid.	He was born as a child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer Matthew Lade.	He was the posthumous son of Sir Henry 1st Baronet Srail, and his mother was the sister of the brewer John Matthew.
6653	ボス代行のルネ・ピカレット (ローレン・ピカレットの息子) は 1988 年に逮捕され、1994 年に解放された。	Acting Boss -- Rene Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.	Acting boss Rene Picarette (son of Lauren Picarette) was arrested in 1988 and released in 1994.	Acting Boss -- Rene Piccarreto -- Son of Loren Piccarreto arrested in 1988 in 1994 released.	Acting Boss -- Jacob Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.	Acting boss Rene Picarette (son of Brooke Picarette) was arrested in 1988 and released in 1994.
540	DTM のレースで、アウディ V8 は、それよりはるかに小さく若干軽量のメルセデス 190、BMW M3 と、若干小さいオペル・オメガ 3000 と競争しました。	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.	In the DTM race, the Audi V8 competed against the much smaller and slightly lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Omega 3000.	The Audi V8 competed with significantly smaller and lighter Mercedes 190, BMW M3 and slightly smaller Opel Omega 3000 during its DTM presence.	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Hannah 3000.	In the DTM race, the Audi V8 competed against the much smaller and slightly lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Kayla 3000.
7530	立ち上げ資金は、ビル & メリンダ・ゲイツ財団、投資家のエドワード・W・スコット、技術企業家のジョージ・ソロスから獲得した。	Start-up funds came from the Bill & Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur George Soros.	Start-up funding came from the Bill & Melinda Gates Foundation, investor Edward W. Scott, and technology entrepreneur George Soros.	The funds came from the Bill Melinda Gates Foundation, financier Edward W. Scott, and technology entrepreneur George Soros.	Start-up funds came from the Bill & Melinda Gates Foundation, financier Mason W. Scott, and technology entrepreneur George Soros.	Start-up funding came from the Bill & Melinda Gates Foundation, investor Edward W. Travis, and technology entrepreneur George Soros.
1256	しかしながら、マイケル・ジャクソン、プリンス、マドンナはそのアルバムに影響を与えた。	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Jackson, Prince and Madonna influenced the album.	Madonna, Prince and Michael Jackson were, however, influences on the album.	Patrick Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Michael, Prince and Madonna influenced the album.
5395	III . メアリーは 1646 年 4 月 26 日にサン・クエンティンの領主であるビューフォートの娘、クロード・シモン・ブラシオンと結婚した。	III. Mary, married April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom he had.	III. Mary married Claude Simon Brasion, daughter of Beaufort, Lord of San Quentin, on April 26, 1646.	Mary, married on April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin, whom he had.	III. Mary, married April 26, 1646, William Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom he had.	III. Mary married Claude Nathaniel Brasion, daughter of Beaufort, Lord of San Quentin, on April 26, 1646.
324	アーミル・カーンの脚本を読むやいなや、メヘラは『ラング・デ・バサンティ』で役を演じることに同意しました。	Immediately after reading Aamir Khan's script, Mehra agreed to play in ``Rang De Basanti ''.	Upon reading Aamir Khan's script, Mehera agreed to play the role in Lang de Basanti.	Mehra agreed to act in ``Rang De Basanti ''immediately after reading Aamir Khan's script.	Immediately after reading Nicholas Khan's script, Mehra agreed to play in ``Rang De Basanti ''.	Upon reading Aamir Khan's script, Mehera agreed to play the role in Lang Jesse Basanti.
4041	ボブ・コーツの「ブラックアダー」として演奏した曲は、ヴォーン・ウィリアムズの「グリーンスリーヴスによる幻想曲」である。	The music performed as Bob courts ``Blackadder ''is Vaughan Williams'`` Fantasia on Greensleeves''.	The song he performed as "Blackadder" by Bob Coates is "Fantasia on Greensleeves" by Vaughan Williams.	The music performed as Bob ``Blackadder ''is'' Fantasia on Greensleeves ''by Vaughan Williams.	The music performed as Bob courts ``Blackadder ''is Thomas Williams'`` Fantasia on Greensleeves''.	The song he performed as "Blackadder" by Bob Coates is "Fantasia on Greensleeves" by Nathan Williams.
4355	イブン・アミラはアルジーラ州バレンシアで生まれた。	Ibn Amira was born in Valencia, the province of Alzira.	Ibn Amira was born in Valencia, Alzira.	Ibn Amira was born at Valencia in the province of Alzira.	Jesse Amira was born in Valencia, the province of Alzira.	Luke Amira was born in Valencia, Alzira.
3796	ジョーオ・マーティンス・ペーナとフランシスカ・デ・ポーラ・ジュリエッタ・ペーナは、マーティンス・ペーナの子としてリオデジャネイロで生まれました。	João Martins Pena and Francisca de Paula Julieta Pena was born to Martins Pena in Rio de Janeiro.	Joo Martins Pena and Francisca de Paula Giulietta Pena were born in Rio de Janeiro, the children of Martins Pena.	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro, to Martins Pena.	João Martins Pena and Amy de Paula Julieta Pena was born to Martins Pena in Rio de Janeiro.	Joo Martins Pena and Francisca Justin Paula Giulietta Pena were born in Rio Justin Janeiro, the children of Martins Pena.
319	2016 年 11 月 13 日、デイビッド・マチャドはデニス・ウォレスによってヒューソン近郊のフォックス・グローブ・パークで殺害された。	On November 13, 2016, David Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.	On November 13, 2016, David Machado was murdered at Fox Grove Park near Hewson by Dennis Wallace.	On November 13, 2016, Deputy David Machado was murdered in Fox Grove Park near the City of Hughson by Dennis Wallace.	On November 13, 2016, Eric Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.	On November 13, 2016, David Machado was murdered at Fox Grove Park near Hewson by Dennis Ian.
2125	彼はまた、2016 年の大統領選を含めて、テッド・クルーズに 3 万 4000 ドル、ミット・ロムニーに 7000 ドルを寄付しました。	He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Ted Cruz and $7,000 to Mitt Romney, including the 2016 presidential campaign.	He also donated US $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Zachary Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Aaron Cruz and $7,000 to Mitt Romney, including the 2016 presidential campaign.
6210	新しい TV シリーズ「デッド・ゴージャス」で、アレクサンドラ・コッピンガーは末っ子のヘーゼルを演じました。	In the new TV-series ''Dead Gorgeous'', Alexandra Coppinger played the role of the youngest sister Hazel.	In the new TV series Dead Gorgeous, Alexandra Coppinger played Hazel, the youngest child.	Alexandra Coppinger played the role of Hazel, the youngest sister, in the new TV series ``Dead Gorgeous ''.	In the new TV-series ''Dead Gorgeous'', Alexandra Coppinger played the role of the youngest sister Alicia.	In the new TV series Dead Gorgeous, Katherine Coppinger played Hazel, the youngest child.
2552	ハードウィックは「コロネーション・ストリート」に 1997 年にはナオミ・ラッセルとして、1998 年にはシーリア・ディクソンとして出演した。	Hardwick appeared in ``Coronation Street ''in 1997 as Naomi Russell and in 1998 as Sheila Dixon.	Hardwick appeared in "Coronation Street" as Naomi Russell in 1997 and Celia Dixon in 1998.	In 1997, she appeared as Naomi Russell in ``Coronation Street ''and in 1998 as Sheila Dixon.	Hardwick appeared in ``Coronation Street ''in 1997 as Naomi Russell and in 1998 as Leah Dixon.	Hardwick appeared in "Coronation Street" as Naomi Russell in 1997 and Celia Travis in 1998.
6827	1884 年、サバの修道院でロバート・カーゾンによって購入され、1883 年 C. R. グレゴリーによって見出されました。	It was bought by Robert Curzon in 1834 in the monastery of Saba and saw in 1883 by C. R. Gregory.	Purchased by Robert Curzon in 1884 at Saba Abbey and discovered in 1883 by C. R. Gregory.	It was bought by Robert Curzon in 1834 in the monastery of Saba. C. R. Gregory saw it in 1883.	It was bought by Robert Curzon in 1834 in the monastery of Saba and saw in 1883 by C. R. Gabriel.	Purchased by Robert Curzon in 1884 at Saba Abbey and discovered in 1883 by C. R. Nathaniel.
7023	ティム・ティムの弟、トッド・レイウェックは、2015 年からナショナル・フットボール・リーグの最高執行責任者を務めている。	The younger brother of Tim Tim, Tod Leiweke, is currently Chief Operating Officer of the National Football League since 2015.	Tim Tim's younger brother, Todd Leywek, has been the Chief Operating Officer of the National Football League since 2015.	Tim's younger brother, Tod Leiweke, is currently the chief operating officer of the National Football League since 2015.	The younger brother of Patrick Patrick, Tod Leiweke, is currently Chief Operating Officer of the National Football League since 2015.	Mark Mark's younger brother, Todd Leywek, has been the Chief Operating Officer of the National Football League since 2015.
2112	ロジャー・モーティマーの最初の妻はジェームズ・オードリー準男爵の娘、ジョアン・モーティマーである。	Roger Mortimer's first wife was Joan Mortimer, the daughter of James 2nd Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of James Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of James 2nd Baron Audley.	Nathan Mortimer's first wife was Joan Mortimer, the daughter of James 2nd Baron Audley.	Roger Mortimer's first wife was Alicia Mortimer, daughter of James Audley.
3610	そののち、アングレーム伯アンドリューへの攻撃で、リチャードはアデマールの中隊となった。	Later, during the attack on Andrew, Count of Angoulême, Richard would be Adhemar's troops.	Later, in the attack on Andrew, Earl of Angoulême, Richard joined Adhemar's company.	Later, Richard would be Adhemar's forces during the attack on Andrew, count of Angoulême.	Later, during the attack on Andrew, Count of Angoulême, Nathan would be Adhemar's troops.	Later, in the attack on Andrew, Earl of Angoulême, Stephen joined Adhemar's company.
625	BBC カレッジ オブ ジャーナリズムは 2005 年 6 月、e ラーニング コースとしてエグゼクティブ エディター、ヴィン・レイにより開始されました。最初のディレクタ―はケヴィン・マーシュです。	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Kevin Marsh.	The BBC College of Journalism was launched in June 2005 as an eLearning course by Executive Editor Vin Ray. The first director is Kevin Marsh.	In June 2005, the BBC College of Journalism was opened as an e-learning series with Vin Ray as Executive Editor, whose first director was Kevin Marsh.	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Adam Marsh.	The BBC College of Journalism was launched in June 2005 as an eLearning course by Executive Editor Vin Ray. The first director is John Marsh.
3148	最初の映画では、カウント・ドラクラは彼らとムレイ、ウェイン、フランクのエンターテインメントに関する争いをやめさせなければなりませんでした。	In the first film, Count Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to stop them from arguing over entertainment between Murray, Wayne, and Frank.	In the first film, Count Dracula had to break up a fight between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to break up a dispute between them and Jesse, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to stop them from arguing over entertainment between Murray, Jose, and Frank.
3217	ドゥミンダ・シルバおよび R・ドゥミンダ・シルバとしても知られているアルマドゥラ・ローレンス・ロメロ・ドゥミンダ・シルバはスリランカ出身の政治家であり、元国会議員です。	Arumadura Lawrence Romelo Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a politician from Sri Lanka and a former Member of Parliament.	Armadura Lawrence Romero Duminda Silva, also known as Duminda Silva and R. Duminda Silva, is a Sri Lankan politician and former Member of Parliament.	Dumuma Silva, also known as Arumadura Lawrence Romelo Duminda Silva and R. Dumindha Silva, is a Sri Lankan politician and former Member of the Parliament.	Arumadura David Romelo Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a politician from Sri Lanka and a former Member of Parliament.	Armadura Joshua Romero Duminda Silva, also known as Duminda Silva and R. Duminda Silva, is a Sri Lankan politician and former Member of Parliament.
485	ソーマセラピー（ソーマ）は、精神分析医ウィルヘルム・ライヒの研究に基づき、フレイルが 1970 年代にグループセラピーとして開発しました。	Somatherapy (or Soma) was created by the Freire in the 1970s as a group therapy, based on the research of the psychoanalyst Wilhelm Reich.	Somatherapy (Soma) was developed as a group therapy by Frail in the 1970s based on the work of psychoanalyst Wilhelm Reich.	Somatherapy (or Soma) was created in the 1970s by the Freire as a group therapy based on the researches of the psychoanalyst Wilhelm Reich.	Somatherapy (or Soma) was created by the Freire in the 1970s as a group therapy, based on the research of the psychoanalyst Logan Reich.	Somatherapy (Soma) was developed as a group therapy by Frail in the 1970s based on the work of psychoanalyst Robert Reich.
5936	「エアー」、ハウイー・B、マーズ IV、レ・ネグレッセ・ヴェルテ、FFF、マヌ・チャオのグループがアルバムに参加しました。	Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Manu Chao attended the album.	The group "Air", Howie B, Mars IV, Le Negresse Verte, FFF and Manu Chao participated in the album.	Cassius, the groups ``Air '', Howie B, Mars IV, Les Négresses Vertes and FFF, and Manu Chao also participated in the album.	Also the groups ''Air ``, Howie B, Mars IV, Les Négresses Vertes and FFF and Charles Chao attended the album.	The group "Air", Howie B, Mars IV, Le Negresse Verte, FFF and Anthony Chao participated in the album.
3975	彼の子供たちは、カロリンとシンシア (1970 年死去)、ブレナン、マット・ペロシ、ローレンス (1971 年誕生)、アンドリュー (1981 年誕生) である。	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children are Caroline and Cynthia (died 1970), Brennan, Matt Pelosi, Lawrence (born 1971) and Andrew (born 1981).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born 1981).	His children were Carolyn and Andrea (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children are Caroline and Cynthia (died 1970), Brennan, Matt Pelosi, Lawrence (born 1971) and Matthew (born 1981).
